,Begin Time - ss.msec,End Time - ss.msec,Common Ground,Utterance,Start,End,Group,Participant,Transcript
0,24.775,26.487,red = 10,4,24.0,27.0,10,4,I will tell you that the red cube is 10 grams.
4,81.08,82.08,green = 20 and blue = 10 and red = 10,23,79.0,82.0,10,3,"yeah i guess green block is like 20 and red block, blue block is like 10 and 10."
6,97.0,98.0,red = blue,30,97.0,100.0,10,1,yeah i suppose
8,101.85,102.85,green = 20 and red = 10 and blue = 10,33,101.0,104.0,10,2,let's see.
12,118.17,119.17,red = blue,39,118.0,122.0,10,2,"yeah red block, blue block're equal"
13,127.25,128.25,purple > green,43,126.0,129.0,10,3,tell purple block one's heavier yeah.
15,141.91,142.91,purple = green + red,50,141.0,144.0,10,1,are the instructions I suppose.
17,201.56,202.56,purple > green + red,80,200.0,202.0,10,2,do we know green block one's 20?
18,216.0,217.0,purple = around 30,97,216.0,218.0,10,3,32 or something
20,253.24,254.24,purple = 30 and green = 20 and yellow = 50,113,253.0,261.0,10,2,would fifty okay
21,268.13,269.13,yellow < 50,119,266.0,269.0,10,2,it's more tilting towards the right so less than
23,273.0,274.0,yellow = 50,124,272.0,274.0,10,2,like I mean between weights so fifty
25,285.57,286.57,yellow < 50,132,284.0,287.0,10,2,yellow block is like less than fifty less than fifty
27,304.0,305.0,yellow < 50,146,304.0,306.0,10,3,yellow block is fifty grams i mean
28,306.26,307.26,yellow = 50,148,306.0,308.0,10,1,purple block was thirty right?
29,311.48,312.48,purple = 30 and green = 20 and red = 10 and blue = 10,156,312.0,313.0,10,2,and yellow block's fifty
