,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,The red cube ten grams,red = 10,tensor([[0.8965]]),<m> red = 10 </m>
1,The red cube ten grams,red != 10,tensor([[0.0098]]),<m> red = 10 </m>
2,The red cube ten grams,red < 10,tensor([[0.0054]]),<m> red = 10 </m>
3,The red cube ten grams,red > 10,tensor([[0.0112]]),<m> red = 10 </m>
4,"would red block , blue block 's equal probably",blue = red,tensor([[0.9784]]),<m> blue = red </m>
5,"would red block , blue block 's equal probably",blue != red,tensor([[0.7348]]),<m> blue = red </m>
6,"would red block , blue block 's equal probably",red < blue,tensor([[0.6595]]),<m> blue = red </m>
7,"would red block , blue block 's equal probably",red > blue,tensor([[0.8559]]),<m> blue = red </m>
8,"would red block , blue block 's equal probably",blue < red,tensor([[0.7045]]),<m> blue = red </m>
9,"would red block , blue block 's equal probably",blue > red,tensor([[0.8977]]),<m> blue = red </m>
10,"would red block , blue block 's equal probably","blue = 10, red = 10",tensor([[0.0865]]),<m> blue = red </m>
11,"would red block , blue block 's equal probably","blue = 20, red = 10",tensor([[0.0661]]),<m> blue = red </m>
12,"would red block , blue block 's equal probably","blue = 30, red = 10",tensor([[0.0456]]),<m> blue = red </m>
13,"would red block , blue block 's equal probably","blue = 40, red = 10",tensor([[0.0464]]),<m> blue = red </m>
14,"would red block , blue block 's equal probably","blue = 50, red = 10",tensor([[0.0397]]),<m> blue = red </m>
15,"would red block , blue block 's equal probably","blue = 10, red = 20",tensor([[0.0611]]),<m> blue = red </m>
16,"would red block , blue block 's equal probably","blue = 20, red = 20",tensor([[0.0616]]),<m> blue = red </m>
17,"would red block , blue block 's equal probably","blue = 30, red = 20",tensor([[0.0424]]),<m> blue = red </m>
18,"would red block , blue block 's equal probably","blue = 40, red = 20",tensor([[0.0437]]),<m> blue = red </m>
19,"would red block , blue block 's equal probably","blue = 50, red = 20",tensor([[0.0343]]),<m> blue = red </m>
20,"would red block , blue block 's equal probably","blue = 10, red = 30",tensor([[0.0557]]),<m> blue = red </m>
21,"would red block , blue block 's equal probably","blue = 20, red = 30",tensor([[0.0475]]),<m> blue = red </m>
22,"would red block , blue block 's equal probably","blue = 30, red = 30",tensor([[0.0370]]),<m> blue = red </m>
23,"would red block , blue block 's equal probably","blue = 40, red = 30",tensor([[0.0361]]),<m> blue = red </m>
24,"would red block , blue block 's equal probably","blue = 50, red = 30",tensor([[0.0294]]),<m> blue = red </m>
