,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,I tell red cube ten grams,red = 10,tensor([[0.4408]]),<m> red = 10 </m>
1,I tell red cube ten grams,red != 10,tensor([[0.3182]]),<m> red = 10 </m>
2,I tell red cube ten grams,red < 10,tensor([[0.2587]]),<m> red = 10 </m>
3,I tell red cube ten grams,red > 10,tensor([[0.3506]]),<m> red = 10 </m>
4,red block red one 's ten grams,red = 10,tensor([[0.4349]]),<m> red = 10 </m>
5,red block red one 's ten grams,red != 10,tensor([[0.2299]]),<m> red = 10 </m>
6,red block red one 's ten grams,red < 10,tensor([[0.3779]]),<m> red = 10 </m>
7,red block red one 's ten grams,red > 10,tensor([[0.3820]]),<m> red = 10 </m>
8,"seems red block , blue block might",blue = red,tensor([[0.3679]]),<m> blue = red </m>
9,"seems red block , blue block might",blue != red,tensor([[0.3047]]),<m> blue = red </m>
10,"seems red block , blue block might",red < blue,tensor([[0.1084]]),<m> blue = red </m>
11,"seems red block , blue block might",red > blue,tensor([[0.2116]]),<m> blue = red </m>
12,"seems red block , blue block might",blue < red,tensor([[0.1894]]),<m> blue = red </m>
13,"seems red block , blue block might",blue > red,tensor([[0.1948]]),<m> blue = red </m>
14,"seems red block , blue block might","blue = 10, red = 10",tensor([[0.2310]]),<m> blue = red </m>
15,"seems red block , blue block might","blue = 20, red = 10",tensor([[0.2621]]),<m> blue = red </m>
16,"seems red block , blue block might","blue = 30, red = 10",tensor([[0.2859]]),<m> blue = red </m>
17,"seems red block , blue block might","blue = 40, red = 10",tensor([[0.2724]]),<m> blue = red </m>
18,"seems red block , blue block might","blue = 50, red = 10",tensor([[0.2783]]),<m> blue = red </m>
19,"seems red block , blue block might","blue = 10, red = 20",tensor([[0.2760]]),<m> blue = red </m>
20,"seems red block , blue block might","blue = 20, red = 20",tensor([[0.2283]]),<m> blue = red </m>
21,"seems red block , blue block might","blue = 30, red = 20",tensor([[0.2478]]),<m> blue = red </m>
22,"seems red block , blue block might","blue = 40, red = 20",tensor([[0.1900]]),<m> blue = red </m>
23,"seems red block , blue block might","blue = 50, red = 20",tensor([[0.2201]]),<m> blue = red </m>
24,"seems red block , blue block might","blue = 10, red = 30",tensor([[0.4267]]),<m> blue = red </m>
25,"seems red block , blue block might","blue = 20, red = 30",tensor([[0.3829]]),<m> blue = red </m>
26,"seems red block , blue block might","blue = 30, red = 30",tensor([[0.3440]]),<m> blue = red </m>
27,"seems red block , blue block might","blue = 40, red = 30",tensor([[0.3193]]),<m> blue = red </m>
28,"seems red block , blue block might","blue = 50, red = 30",tensor([[0.3514]]),<m> blue = red </m>
29,"seems red block , blue block might","blue = 10, red = 40",tensor([[0.3150]]),<m> blue = red </m>
30,"seems red block , blue block might","blue = 20, red = 40",tensor([[0.2283]]),<m> blue = red </m>
31,"seems red block , blue block might","blue = 30, red = 40",tensor([[0.1650]]),<m> blue = red </m>
32,"seems red block , blue block might","blue = 40, red = 40",tensor([[0.1965]]),<m> blue = red </m>
33,"seems red block , blue block might","blue = 50, red = 40",tensor([[0.1713]]),<m> blue = red </m>
34,"seems red block , blue block might","blue = 10, red = 50",tensor([[0.2646]]),<m> blue = red </m>
35,"seems red block , blue block might","blue = 20, red = 50",tensor([[0.2577]]),<m> blue = red </m>
36,"seems red block , blue block might","blue = 30, red = 50",tensor([[0.2504]]),<m> blue = red </m>
37,"seems red block , blue block might","blue = 40, red = 50",tensor([[0.2159]]),<m> blue = red </m>
38,"seems red block , blue block might","blue = 50, red = 50",tensor([[0.2562]]),<m> blue = red </m>
39,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 20, red = 10",tensor([[0.2669]]),"<m> green = 20, red = 10 </m>"
40,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 10, red = 20",tensor([[0.2540]]),"<m> green = 20, red = 10 </m>"
41,purple block 's twenty almost seems thirty takes past,purple = 20,tensor([[0.2848]]),<m> purple > 20 </m>
42,purple block 's twenty almost seems thirty takes past,purple = 30,tensor([[0.3234]]),<m> purple > 20 </m>
43,purple block 's twenty almost seems thirty takes past,purple != 20,tensor([[0.2330]]),<m> purple > 20 </m>
44,purple block 's twenty almost seems thirty takes past,purple != 30,tensor([[0.2268]]),<m> purple > 20 </m>
45,purple block 's twenty almost seems thirty takes past,purple < 20,tensor([[0.2658]]),<m> purple > 20 </m>
46,purple block 's twenty almost seems thirty takes past,purple < 30,tensor([[0.2771]]),<m> purple > 20 </m>
47,purple block 's twenty almost seems thirty takes past,purple > 20,tensor([[0.2625]]),<m> purple > 20 </m>
48,purple block 's twenty almost seems thirty takes past,purple > 30,tensor([[0.2881]]),<m> purple > 20 </m>
49,purple block 's twenty almost seems thirty takes past,"blue = 10, purple = 20, red = 10",tensor([[0.0463]]),<m> purple > 20 </m>
50,purple block 's twenty almost seems thirty takes past,"blue = 10, purple = 30, red = 10",tensor([[0.0527]]),<m> purple > 20 </m>
51,purple block 's twenty almost seems thirty takes past,"blue = 20, purple = 10, red = 10",tensor([[0.0697]]),<m> purple > 20 </m>
52,purple block 's twenty almost seems thirty takes past,"blue = 20, purple = 20, red = 10",tensor([[0.0622]]),<m> purple > 20 </m>
53,purple block 's twenty almost seems thirty takes past,"blue = 20, purple = 30, red = 10",tensor([[0.0851]]),<m> purple > 20 </m>
54,purple block 's twenty almost seems thirty takes past,"blue = 20, purple = 40, red = 10",tensor([[0.0786]]),<m> purple > 20 </m>
55,purple block 's twenty almost seems thirty takes past,"blue = 20, purple = 50, red = 10",tensor([[0.0809]]),<m> purple > 20 </m>
56,purple block 's twenty almost seems thirty takes past,"blue = 30, purple = 10, red = 10",tensor([[0.0714]]),<m> purple > 20 </m>
57,purple block 's twenty almost seems thirty takes past,"blue = 30, purple = 20, red = 10",tensor([[0.0790]]),<m> purple > 20 </m>
58,purple block 's twenty almost seems thirty takes past,"blue = 30, purple = 30, red = 10",tensor([[0.0646]]),<m> purple > 20 </m>
59,purple block 's twenty almost seems thirty takes past,"blue = 30, purple = 40, red = 10",tensor([[0.0734]]),<m> purple > 20 </m>
60,purple block 's twenty almost seems thirty takes past,"blue = 30, purple = 50, red = 10",tensor([[0.0550]]),<m> purple > 20 </m>
61,purple block 's twenty almost seems thirty takes past,"blue = 40, purple = 20, red = 10",tensor([[0.0694]]),<m> purple > 20 </m>
62,purple block 's twenty almost seems thirty takes past,"blue = 40, purple = 30, red = 10",tensor([[0.0796]]),<m> purple > 20 </m>
63,purple block 's twenty almost seems thirty takes past,"blue = 50, purple = 20, red = 10",tensor([[0.0499]]),<m> purple > 20 </m>
64,purple block 's twenty almost seems thirty takes past,"blue = 50, purple = 30, red = 10",tensor([[0.0510]]),<m> purple > 20 </m>
65,purple block 's twenty almost seems thirty takes past,"green = 10, purple = 20, red = 10",tensor([[0.0459]]),<m> purple > 20 </m>
66,purple block 's twenty almost seems thirty takes past,"green = 10, purple = 30, red = 10",tensor([[0.0545]]),<m> purple > 20 </m>
67,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 10, red = 10",tensor([[0.0806]]),<m> purple > 20 </m>
68,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 20, red = 10",tensor([[0.0733]]),<m> purple > 20 </m>
69,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 30, red = 10",tensor([[0.0989]]),<m> purple > 20 </m>
70,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 40, red = 10",tensor([[0.1005]]),<m> purple > 20 </m>
71,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 50, red = 10",tensor([[0.0825]]),<m> purple > 20 </m>
72,purple block 's twenty almost seems thirty takes past,"green = 30, purple = 10, red = 10",tensor([[0.0725]]),<m> purple > 20 </m>
73,purple block 's twenty almost seems thirty takes past,"green = 30, purple = 20, red = 10",tensor([[0.0945]]),<m> purple > 20 </m>
74,purple block 's twenty almost seems thirty takes past,"green = 30, purple = 30, red = 10",tensor([[0.0597]]),<m> purple > 20 </m>
75,purple block 's twenty almost seems thirty takes past,"green = 30, purple = 40, red = 10",tensor([[0.0825]]),<m> purple > 20 </m>
76,purple block 's twenty almost seems thirty takes past,"green = 30, purple = 50, red = 10",tensor([[0.0546]]),<m> purple > 20 </m>
77,purple block 's twenty almost seems thirty takes past,"green = 40, purple = 20, red = 10",tensor([[0.0909]]),<m> purple > 20 </m>
78,purple block 's twenty almost seems thirty takes past,"green = 40, purple = 30, red = 10",tensor([[0.0998]]),<m> purple > 20 </m>
79,purple block 's twenty almost seems thirty takes past,"green = 50, purple = 20, red = 10",tensor([[0.0609]]),<m> purple > 20 </m>
80,purple block 's twenty almost seems thirty takes past,"green = 50, purple = 30, red = 10",tensor([[0.0536]]),<m> purple > 20 </m>
81,purple block 's twenty almost seems thirty takes past,"purple = 10, red = 10, yellow = 20",tensor([[0.0468]]),<m> purple > 20 </m>
82,purple block 's twenty almost seems thirty takes past,"purple = 10, red = 10, yellow = 30",tensor([[0.0403]]),<m> purple > 20 </m>
