,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,I tell red cube ten grams,red = 10,tensor([[0.8497]]),<m> red = 10 </m>
1,I tell red cube ten grams,red != 10,tensor([[0.3783]]),<m> red = 10 </m>
2,I tell red cube ten grams,red < 10,tensor([[0.0678]]),<m> red = 10 </m>
3,I tell red cube ten grams,red > 10,tensor([[0.0698]]),<m> red = 10 </m>
4,blue block seems ten,blue = 10,tensor([[0.4956]]),<m> blue = 10 </m>
5,blue block seems ten,blue != 10,tensor([[0.1130]]),<m> blue = 10 </m>
6,blue block seems ten,blue < 10,tensor([[0.1874]]),<m> blue = 10 </m>
7,blue block seems ten,blue > 10,tensor([[0.2405]]),<m> blue = 10 </m>
8,purple block 's thirty,purple = 30,tensor([[0.5303]]),<m> purple = 30 </m>
9,purple block 's thirty,purple != 30,tensor([[0.3918]]),<m> purple = 30 </m>
10,purple block 's thirty,purple < 30,tensor([[0.0917]]),<m> purple = 30 </m>
11,purple block 's thirty,purple > 30,tensor([[0.0941]]),<m> purple = 30 </m>
12,So twenty thirty,"blue = 20, green = 30, red = 20",tensor([[0.0321]]),"<m> green = 20, purple = 30 </m>"
13,So twenty thirty,"blue = 20, purple = 30, red = 20",tensor([[0.0299]]),"<m> green = 20, purple = 30 </m>"
14,So twenty thirty,"blue = 20, red = 20, yellow = 30",tensor([[0.0612]]),"<m> green = 20, purple = 30 </m>"
15,So twenty thirty,"blue = 30, green = 20, red = 20",tensor([[0.0311]]),"<m> green = 20, purple = 30 </m>"
16,So twenty thirty,"blue = 30, green = 30, red = 20",tensor([[0.0362]]),"<m> green = 20, purple = 30 </m>"
17,So twenty thirty,"blue = 30, purple = 20, red = 20",tensor([[0.0308]]),"<m> green = 20, purple = 30 </m>"
18,So twenty thirty,"blue = 30, purple = 30, red = 20",tensor([[0.0314]]),"<m> green = 20, purple = 30 </m>"
19,So twenty thirty,"blue = 30, red = 20, yellow = 20",tensor([[0.0305]]),"<m> green = 20, purple = 30 </m>"
20,So twenty thirty,"blue = 30, red = 20, yellow = 30",tensor([[0.0321]]),"<m> green = 20, purple = 30 </m>"
21,So twenty thirty,"green = 20, purple = 30, red = 20",tensor([[0.0295]]),"<m> green = 20, purple = 30 </m>"
22,So twenty thirty,"green = 20, red = 20, yellow = 30",tensor([[0.0432]]),"<m> green = 20, purple = 30 </m>"
23,So twenty thirty,"green = 30, purple = 20, red = 20",tensor([[0.0309]]),"<m> green = 20, purple = 30 </m>"
24,So twenty thirty,"green = 30, purple = 30, red = 20",tensor([[0.0312]]),"<m> green = 20, purple = 30 </m>"
25,So twenty thirty,"green = 30, red = 20, yellow = 20",tensor([[0.0303]]),"<m> green = 20, purple = 30 </m>"
26,So twenty thirty,"green = 30, red = 20, yellow = 30",tensor([[0.0313]]),"<m> green = 20, purple = 30 </m>"
27,So twenty thirty,"purple = 20, red = 20, yellow = 30",tensor([[0.0409]]),"<m> green = 20, purple = 30 </m>"
28,So twenty thirty,"purple = 30, red = 20, yellow = 20",tensor([[0.0270]]),"<m> green = 20, purple = 30 </m>"
29,So twenty thirty,"purple = 30, red = 20, yellow = 30",tensor([[0.0302]]),"<m> green = 20, purple = 30 </m>"
30,So twenty thirty,"blue = 20, green = 20, red = 30",tensor([[0.0791]]),"<m> green = 20, purple = 30 </m>"
31,So twenty thirty,"blue = 20, green = 30, red = 30",tensor([[0.0272]]),"<m> green = 20, purple = 30 </m>"
32,So twenty thirty,"blue = 20, purple = 20, red = 30",tensor([[0.0544]]),"<m> green = 20, purple = 30 </m>"
33,So twenty thirty,"blue = 20, purple = 30, red = 30",tensor([[0.0248]]),"<m> green = 20, purple = 30 </m>"
34,So twenty thirty,"blue = 20, red = 30, yellow = 20",tensor([[0.0309]]),"<m> green = 20, purple = 30 </m>"
35,So twenty thirty,"blue = 20, red = 30, yellow = 30",tensor([[0.0273]]),"<m> green = 20, purple = 30 </m>"
36,So twenty thirty,"blue = 30, green = 20, red = 30",tensor([[0.0358]]),"<m> green = 20, purple = 30 </m>"
