,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,I tell red cube ten grams,red = 10,tensor([[0.8198]]),<m> red = 10 </m>
1,I tell red cube ten grams,red != 10,tensor([[0.1318]]),<m> red = 10 </m>
2,I tell red cube ten grams,red < 10,tensor([[0.0828]]),<m> red = 10 </m>
3,I tell red cube ten grams,red > 10,tensor([[0.0740]]),<m> red = 10 </m>
4,blue block seems ten,blue = 10,tensor([[0.8223]]),<m> blue = 10 </m>
5,blue block seems ten,blue != 10,tensor([[0.1425]]),<m> blue = 10 </m>
6,blue block seems ten,blue < 10,tensor([[0.0830]]),<m> blue = 10 </m>
7,blue block seems ten,blue > 10,tensor([[0.0729]]),<m> blue = 10 </m>
8,purple block 's thirty,purple = 30,tensor([[0.8354]]),<m> purple = 30 </m>
9,purple block 's thirty,purple != 30,tensor([[0.2788]]),<m> purple = 30 </m>
10,purple block 's thirty,purple < 30,tensor([[0.0893]]),<m> purple = 30 </m>
11,purple block 's thirty,purple > 30,tensor([[0.0832]]),<m> purple = 30 </m>
12,So twenty thirty,"blue = 20, green = 30, red = 20",tensor([[0.0167]]),"<m> green = 20, purple = 30 </m>"
13,So twenty thirty,"blue = 20, purple = 30, red = 20",tensor([[0.0166]]),"<m> green = 20, purple = 30 </m>"
14,So twenty thirty,"blue = 20, red = 20, yellow = 30",tensor([[0.0160]]),"<m> green = 20, purple = 30 </m>"
15,So twenty thirty,"blue = 30, green = 20, red = 20",tensor([[0.0167]]),"<m> green = 20, purple = 30 </m>"
16,So twenty thirty,"blue = 30, green = 30, red = 20",tensor([[0.0167]]),"<m> green = 20, purple = 30 </m>"
17,So twenty thirty,"blue = 30, purple = 20, red = 20",tensor([[0.0168]]),"<m> green = 20, purple = 30 </m>"
18,So twenty thirty,"blue = 30, purple = 30, red = 20",tensor([[0.0169]]),"<m> green = 20, purple = 30 </m>"
19,So twenty thirty,"blue = 30, red = 20, yellow = 20",tensor([[0.0176]]),"<m> green = 20, purple = 30 </m>"
20,So twenty thirty,"blue = 30, red = 20, yellow = 30",tensor([[0.0167]]),"<m> green = 20, purple = 30 </m>"
21,So twenty thirty,"green = 20, purple = 30, red = 20",tensor([[0.0166]]),"<m> green = 20, purple = 30 </m>"
22,So twenty thirty,"green = 20, red = 20, yellow = 30",tensor([[0.0165]]),"<m> green = 20, purple = 30 </m>"
23,So twenty thirty,"green = 30, purple = 20, red = 20",tensor([[0.0165]]),"<m> green = 20, purple = 30 </m>"
24,So twenty thirty,"green = 30, purple = 30, red = 20",tensor([[0.0168]]),"<m> green = 20, purple = 30 </m>"
25,So twenty thirty,"green = 30, red = 20, yellow = 20",tensor([[0.0169]]),"<m> green = 20, purple = 30 </m>"
26,So twenty thirty,"green = 30, red = 20, yellow = 30",tensor([[0.0164]]),"<m> green = 20, purple = 30 </m>"
