,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,I tell red cube ten grams,red = 10,tensor([[0.9766]]),<m> red = 10 </m>
1,I tell red cube ten grams,red != 10,tensor([[0.0207]]),<m> red = 10 </m>
2,I tell red cube ten grams,red < 10,tensor([[0.0098]]),<m> red = 10 </m>
3,I tell red cube ten grams,red > 10,tensor([[0.0096]]),<m> red = 10 </m>
4,"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 10",tensor([[0.1732]]),"<m> blue = 10, green = 20, red = 10 </m>"
5,"green block twenty red block , blue block ten ten","blue = 20, green = 10, red = 10",tensor([[0.1611]]),"<m> blue = 10, green = 20, red = 10 </m>"
6,"green block twenty red block , blue block ten ten","blue = 20, green = 20, red = 10",tensor([[0.1792]]),"<m> blue = 10, green = 20, red = 10 </m>"
7,"green block twenty red block , blue block ten ten","blue = 10, green = 10, red = 20",tensor([[0.1582]]),"<m> blue = 10, green = 20, red = 10 </m>"
8,"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 20",tensor([[0.1436]]),"<m> blue = 10, green = 20, red = 10 </m>"
9,"green block twenty red block , blue block ten ten","blue = 20, green = 10, red = 20",tensor([[0.1756]]),"<m> blue = 10, green = 20, red = 10 </m>"
10,"looks red block , blue block 're fairly equal",blue = red,tensor([[0.9183]]),<m> blue = red </m>
11,"looks red block , blue block 're fairly equal",blue != red,tensor([[0.4973]]),<m> blue = red </m>
12,"looks red block , blue block 're fairly equal",red < blue,tensor([[0.1918]]),<m> blue = red </m>
13,"looks red block , blue block 're fairly equal",red > blue,tensor([[0.2784]]),<m> blue = red </m>
14,"looks red block , blue block 're fairly equal",blue < red,tensor([[0.0793]]),<m> blue = red </m>
15,"looks red block , blue block 're fairly equal",blue > red,tensor([[0.2181]]),<m> blue = red </m>
16,"looks red block , blue block 're fairly equal","blue = 10, red = 10",tensor([[0.0092]]),<m> blue = red </m>
17,"looks red block , blue block 're fairly equal","blue = 20, red = 10",tensor([[0.0079]]),<m> blue = red </m>
18,"looks red block , blue block 're fairly equal","blue = 30, red = 10",tensor([[0.0062]]),<m> blue = red </m>
19,"looks red block , blue block 're fairly equal","blue = 40, red = 10",tensor([[0.0074]]),<m> blue = red </m>
20,"looks red block , blue block 're fairly equal","blue = 50, red = 10",tensor([[0.0074]]),<m> blue = red </m>
21,"looks red block , blue block 're fairly equal","blue = 10, red = 20",tensor([[0.0106]]),<m> blue = red </m>
22,"looks red block , blue block 're fairly equal","blue = 20, red = 20",tensor([[0.0047]]),<m> blue = red </m>
23,"looks red block , blue block 're fairly equal","blue = 30, red = 20",tensor([[0.0060]]),<m> blue = red </m>
24,"looks red block , blue block 're fairly equal","blue = 40, red = 20",tensor([[0.0070]]),<m> blue = red </m>
25,"looks red block , blue block 're fairly equal","blue = 50, red = 20",tensor([[0.0058]]),<m> blue = red </m>
26,"looks red block , blue block 're fairly equal","blue = 10, red = 30",tensor([[0.0121]]),<m> blue = red </m>
27,"looks red block , blue block 're fairly equal","blue = 20, red = 30",tensor([[0.0074]]),<m> blue = red </m>
28,"looks red block , blue block 're fairly equal","blue = 30, red = 30",tensor([[0.0050]]),<m> blue = red </m>
29,"looks red block , blue block 're fairly equal","blue = 40, red = 30",tensor([[0.0068]]),<m> blue = red </m>
30,"looks red block , blue block 're fairly equal","blue = 50, red = 30",tensor([[0.0069]]),<m> blue = red </m>
31,"looks red block , blue block 're fairly equal","blue = 10, red = 40",tensor([[0.0122]]),<m> blue = red </m>
32,"looks red block , blue block 're fairly equal","blue = 20, red = 40",tensor([[0.0077]]),<m> blue = red </m>
33,"looks red block , blue block 're fairly equal","blue = 30, red = 40",tensor([[0.0060]]),<m> blue = red </m>
34,"looks red block , blue block 're fairly equal","blue = 40, red = 40",tensor([[0.0044]]),<m> blue = red </m>
35,"looks red block , blue block 're fairly equal","blue = 50, red = 40",tensor([[0.0051]]),<m> blue = red </m>
36,"looks red block , blue block 're fairly equal","blue = 10, red = 50",tensor([[0.0097]]),<m> blue = red </m>
37,"looks red block , blue block 're fairly equal","blue = 20, red = 50",tensor([[0.0056]]),<m> blue = red </m>
38,"looks red block , blue block 're fairly equal","blue = 30, red = 50",tensor([[0.0046]]),<m> blue = red </m>
39,"looks red block , blue block 're fairly equal","blue = 40, red = 50",tensor([[0.0049]]),<m> blue = red </m>
40,"looks red block , blue block 're fairly equal","blue = 50, red = 50",tensor([[0.0036]]),<m> blue = red </m>
41,"right green block 's twenty red block , blue block two ten","blue = 10, green = 20, red = 10",tensor([[0.0733]]),"<m> blue = 10, green = 20, red = 10 </m>"
42,"right green block 's twenty red block , blue block two ten","blue = 20, green = 10, red = 10",tensor([[0.0474]]),"<m> blue = 10, green = 20, red = 10 </m>"
43,"right green block 's twenty red block , blue block two ten","blue = 20, green = 20, red = 10",tensor([[0.0477]]),"<m> blue = 10, green = 20, red = 10 </m>"
44,"right green block 's twenty red block , blue block two ten","blue = 10, green = 10, red = 20",tensor([[0.0750]]),"<m> blue = 10, green = 20, red = 10 </m>"
45,"right green block 's twenty red block , blue block two ten","blue = 10, green = 20, red = 20",tensor([[0.0546]]),"<m> blue = 10, green = 20, red = 10 </m>"
46,"right green block 's twenty red block , blue block two ten","blue = 20, green = 10, red = 20",tensor([[0.0367]]),"<m> blue = 10, green = 20, red = 10 </m>"
47,"red block , blue block 're together",blue = red,tensor([[0.9722]]),<m> blue = red </m>
48,"red block , blue block 're together",blue != red,tensor([[0.4069]]),<m> blue = red </m>
49,"red block , blue block 're together",red < blue,tensor([[0.1201]]),<m> blue = red </m>
50,"red block , blue block 're together",red > blue,tensor([[0.1728]]),<m> blue = red </m>
51,"red block , blue block 're together",blue < red,tensor([[0.0672]]),<m> blue = red </m>
52,"red block , blue block 're together",blue > red,tensor([[0.1058]]),<m> blue = red </m>
53,"red block , blue block 're together","blue = 10, red = 10",tensor([[0.0160]]),<m> blue = red </m>
54,"red block , blue block 're together","blue = 20, red = 10",tensor([[0.0129]]),<m> blue = red </m>
55,"red block , blue block 're together","blue = 30, red = 10",tensor([[0.0049]]),<m> blue = red </m>
56,"red block , blue block 're together","blue = 40, red = 10",tensor([[0.0094]]),<m> blue = red </m>
57,"red block , blue block 're together","blue = 50, red = 10",tensor([[0.0103]]),<m> blue = red </m>
58,"red block , blue block 're together","blue = 10, red = 20",tensor([[0.0443]]),<m> blue = red </m>
59,"red block , blue block 're together","blue = 20, red = 20",tensor([[0.0147]]),<m> blue = red </m>
60,"red block , blue block 're together","blue = 30, red = 20",tensor([[0.0050]]),<m> blue = red </m>
61,"red block , blue block 're together","blue = 40, red = 20",tensor([[0.0082]]),<m> blue = red </m>
62,"red block , blue block 're together","blue = 50, red = 20",tensor([[0.0070]]),<m> blue = red </m>
63,"red block , blue block 're together","blue = 10, red = 30",tensor([[0.0310]]),<m> blue = red </m>
64,"red block , blue block 're together","blue = 20, red = 30",tensor([[0.0143]]),<m> blue = red </m>
65,"red block , blue block 're together","blue = 30, red = 30",tensor([[0.0051]]),<m> blue = red </m>
66,"red block , blue block 're together","blue = 40, red = 30",tensor([[0.0071]]),<m> blue = red </m>
67,"red block , blue block 're together","blue = 50, red = 30",tensor([[0.0055]]),<m> blue = red </m>
68,"red block , blue block 're together","blue = 10, red = 40",tensor([[0.0211]]),<m> blue = red </m>
69,"red block , blue block 're together","blue = 20, red = 40",tensor([[0.0110]]),<m> blue = red </m>
70,"red block , blue block 're together","blue = 30, red = 40",tensor([[0.0048]]),<m> blue = red </m>
71,"red block , blue block 're together","blue = 40, red = 40",tensor([[0.0048]]),<m> blue = red </m>
72,"red block , blue block 're together","blue = 50, red = 40",tensor([[0.0046]]),<m> blue = red </m>
73,"red block , blue block 're together","blue = 10, red = 50",tensor([[0.0138]]),<m> blue = red </m>
74,"red block , blue block 're together","blue = 20, red = 50",tensor([[0.0074]]),<m> blue = red </m>
75,"red block , blue block 're together","blue = 30, red = 50",tensor([[0.0037]]),<m> blue = red </m>
76,"red block , blue block 're together","blue = 40, red = 50",tensor([[0.0046]]),<m> blue = red </m>
77,"red block , blue block 're together","blue = 50, red = 50",tensor([[0.0044]]),<m> blue = red </m>
78,"alright let 's green block , purple block two already tell purple block one 's heavier",green = purple,tensor([[0.9412]]),<m> purple > green </m>
79,"alright let 's green block , purple block two already tell purple block one 's heavier",green != purple,tensor([[0.7267]]),<m> purple > green </m>
80,"alright let 's green block , purple block two already tell purple block one 's heavier",green < purple,tensor([[0.3498]]),<m> purple > green </m>
81,"alright let 's green block , purple block two already tell purple block one 's heavier",green > purple,tensor([[0.3737]]),<m> purple > green </m>
82,"alright let 's green block , purple block two already tell purple block one 's heavier",purple < green,tensor([[0.2936]]),<m> purple > green </m>
83,"alright let 's green block , purple block two already tell purple block one 's heavier",purple > green,tensor([[0.3145]]),<m> purple > green </m>
84,"alright let 's green block , purple block two already tell purple block one 's heavier","green = 10, purple = 10",tensor([[0.2425]]),<m> purple > green </m>
85,"alright let 's green block , purple block two already tell purple block one 's heavier","green = 10, purple = 20",tensor([[0.2316]]),<m> purple > green </m>
86,"alright let 's green block , purple block two already tell purple block one 's heavier","green = 10, purple = 30",tensor([[0.2496]]),<m> purple > green </m>
