,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,We tell weight red cube ten grams,red = 10,tensor([[0.9347]]),<m> red = 10 </m>
1,We tell weight red cube ten grams,red != 10,tensor([[0.0057]]),<m> red = 10 </m>
2,We tell weight red cube ten grams,red < 10,tensor([[0.0052]]),<m> red = 10 </m>
3,We tell weight red cube ten grams,red > 10,tensor([[0.0047]]),<m> red = 10 </m>
4,"red block , blue block 're weight",blue = red,tensor([[0.9477]]),<m> blue = red </m>
5,"red block , blue block 're weight",blue != red,tensor([[0.2901]]),<m> blue = red </m>
6,"red block , blue block 're weight",red < blue,tensor([[0.4037]]),<m> blue = red </m>
7,"red block , blue block 're weight",red > blue,tensor([[0.4245]]),<m> blue = red </m>
8,"red block , blue block 're weight",blue < red,tensor([[0.4711]]),<m> blue = red </m>
9,"red block , blue block 're weight",blue > red,tensor([[0.4749]]),<m> blue = red </m>
10,"red block , blue block 're weight","blue = 10, red = 10",tensor([[0.0798]]),<m> blue = red </m>
11,"red block , blue block 're weight","blue = 20, red = 10",tensor([[0.0543]]),<m> blue = red </m>
12,"red block , blue block 're weight","blue = 30, red = 10",tensor([[0.0272]]),<m> blue = red </m>
13,"red block , blue block 're weight","blue = 40, red = 10",tensor([[0.0291]]),<m> blue = red </m>
14,"red block , blue block 're weight","blue = 50, red = 10",tensor([[0.0333]]),<m> blue = red </m>
15,"red block , blue block 're weight","blue = 10, red = 20",tensor([[0.0738]]),<m> blue = red </m>
16,"red block , blue block 're weight","blue = 20, red = 20",tensor([[0.0558]]),<m> blue = red </m>
17,"red block , blue block 're weight","blue = 30, red = 20",tensor([[0.0258]]),<m> blue = red </m>
18,"red block , blue block 're weight","blue = 40, red = 20",tensor([[0.0288]]),<m> blue = red </m>
19,"red block , blue block 're weight","blue = 50, red = 20",tensor([[0.0286]]),<m> blue = red </m>
20,"red block , blue block 're weight","blue = 10, red = 30",tensor([[0.0470]]),<m> blue = red </m>
21,"red block , blue block 're weight","blue = 20, red = 30",tensor([[0.0362]]),<m> blue = red </m>
22,"red block , blue block 're weight","blue = 30, red = 30",tensor([[0.0270]]),<m> blue = red </m>
23,"red block , blue block 're weight","blue = 40, red = 30",tensor([[0.0238]]),<m> blue = red </m>
24,"red block , blue block 're weight","blue = 50, red = 30",tensor([[0.0245]]),<m> blue = red </m>
25,"red block , blue block 're weight","blue = 10, red = 40",tensor([[0.0487]]),<m> blue = red </m>
26,"red block , blue block 're weight","blue = 20, red = 40",tensor([[0.0388]]),<m> blue = red </m>
27,"red block , blue block 're weight","blue = 30, red = 40",tensor([[0.0302]]),<m> blue = red </m>
28,"red block , blue block 're weight","blue = 40, red = 40",tensor([[0.0248]]),<m> blue = red </m>
