,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,", green one twenty",green = 20,tensor([[1.4050]]),<m> green = 20 </m>
1,", green one twenty",green != 20,tensor([[0.0515]]),<m> green = 20 </m>
2,", green one twenty",green < 20,tensor([[0.0427]]),<m> green = 20 </m>
3,", green one twenty",green > 20,tensor([[0.0428]]),<m> green = 20 </m>
4,"wait , purple , much ? purple 30. green 20. 's . try",green = purple,tensor([[0.7734]]),"<m> green = 20, purple = 30, yellow = 50 </m>"
5,"wait , purple , much ? purple 30. green 20. 's . try",green != purple,tensor([[0.0570]]),"<m> green = 20, purple = 30, yellow = 50 </m>"
6,"wait , purple , much ? purple 30. green 20. 's . try",green < purple,tensor([[0.0698]]),"<m> green = 20, purple = 30, yellow = 50 </m>"
7,"wait , purple , much ? purple 30. green 20. 's . try",green > purple,tensor([[0.0701]]),"<m> green = 20, purple = 30, yellow = 50 </m>"
8,"wait , purple , much ? purple 30. green 20. 's . try",green = purple,tensor([[0.7734]]),"<m> green = 20, purple = 30, yellow = 50 </m>"
9,"wait , purple , much ? purple 30. green 20. 's . try",green != purple,tensor([[0.0570]]),"<m> green = 20, purple = 30, yellow = 50 </m>"
10,"wait , purple , much ? purple 30. green 20. 's . try",purple < green,tensor([[0.0742]]),"<m> green = 20, purple = 30, yellow = 50 </m>"
11,"wait , purple , much ? purple 30. green 20. 's . try",purple > green,tensor([[0.0802]]),"<m> green = 20, purple = 30, yellow = 50 </m>"
12,"red block , blue block two green one 's still kinda dipping",red = blue + green,tensor([[1.4417]]),<m> green = 20 </m>
13,"red block , blue block two green one 's still kinda dipping",red != blue + green,tensor([[1.0545]]),<m> green = 20 </m>
14,"red block , blue block two green one 's still kinda dipping",red < blue + green,tensor([[1.0765]]),<m> green = 20 </m>
15,"red block , blue block two green one 's still kinda dipping",red > blue + green,tensor([[0.9651]]),<m> green = 20 </m>
16,"red block , blue block two green one 's still kinda dipping",blue = green + red,tensor([[1.4477]]),<m> green = 20 </m>
17,"red block , blue block two green one 's still kinda dipping",blue != green + red,tensor([[0.6301]]),<m> green = 20 </m>
18,"red block , blue block two green one 's still kinda dipping",blue < green + red,tensor([[0.6742]]),<m> green = 20 </m>
19,"red block , blue block two green one 's still kinda dipping",blue > green + red,tensor([[0.6233]]),<m> green = 20 </m>
20,"red block , blue block two green one 's still kinda dipping",green = blue + red,tensor([[1.4640]]),<m> green = 20 </m>
21,"red block , blue block two green one 's still kinda dipping",green != blue + red,tensor([[0.6332]]),<m> green = 20 </m>
22,"red block , blue block two green one 's still kinda dipping",green < blue + red,tensor([[0.8071]]),<m> green = 20 </m>
23,"red block , blue block two green one 's still kinda dipping",green > blue + red,tensor([[0.6451]]),<m> green = 20 </m>
24,"red block , blue block two green one 's still kinda dipping","blue = 10, green = 10, red = 10",tensor([[0.5877]]),<m> green = 20 </m>
25,"red block , blue block two green one 's still kinda dipping","blue = 10, green = 20, red = 10",tensor([[0.5224]]),<m> green = 20 </m>
26,"red block , blue block two green one 's still kinda dipping","blue = 10, green = 30, red = 10",tensor([[0.4877]]),<m> green = 20 </m>
27,"red block , blue block two green one 's still kinda dipping","blue = 10, green = 40, red = 10",tensor([[0.4297]]),<m> green = 20 </m>
28,"red block , blue block two green one 's still kinda dipping","blue = 10, green = 50, red = 10",tensor([[0.4974]]),<m> green = 20 </m>
29,"red block , blue block two green one 's still kinda dipping","blue = 20, green = 10, red = 10",tensor([[0.5795]]),<m> green = 20 </m>
