,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,I tell red cube ten grams,red = 10,tensor([[0.7991]]),<m> red = 10 </m>
1,I tell red cube ten grams,red != 10,tensor([[0.1042]]),<m> red = 10 </m>
2,I tell red cube ten grams,red < 10,tensor([[0.0525]]),<m> red = 10 </m>
3,I tell red cube ten grams,red > 10,tensor([[0.0404]]),<m> red = 10 </m>
4,alright reese fill survey end red block ten grams,red = 10,tensor([[0.5756]]),<m> red = 10 </m>
5,alright reese fill survey end red block ten grams,red != 10,tensor([[0.0510]]),<m> red = 10 </m>
6,alright reese fill survey end red block ten grams,red < 10,tensor([[0.0463]]),<m> red = 10 </m>
7,alright reese fill survey end red block ten grams,red > 10,tensor([[0.0484]]),<m> red = 10 </m>
8,"'d red block , blue block 's basically 's teetering",blue = red,tensor([[0.7154]]),<m> blue = red </m>
9,"'d red block , blue block 's basically 's teetering",blue != red,tensor([[0.5758]]),<m> blue = red </m>
10,"'d red block , blue block 's basically 's teetering",red < blue,tensor([[0.4873]]),<m> blue = red </m>
11,"'d red block , blue block 's basically 's teetering",red > blue,tensor([[0.5656]]),<m> blue = red </m>
12,"'d red block , blue block 's basically 's teetering",blue < red,tensor([[0.4341]]),<m> blue = red </m>
13,"'d red block , blue block 's basically 's teetering",blue > red,tensor([[0.6669]]),<m> blue = red </m>
14,"'d red block , blue block 's basically 's teetering","blue = 10, red = 10",tensor([[0.1216]]),<m> blue = red </m>
15,"'d red block , blue block 's basically 's teetering","blue = 20, red = 10",tensor([[0.0597]]),<m> blue = red </m>
16,"'d red block , blue block 's basically 's teetering","blue = 30, red = 10",tensor([[0.0626]]),<m> blue = red </m>
17,"'d red block , blue block 's basically 's teetering","blue = 40, red = 10",tensor([[0.0582]]),<m> blue = red </m>
18,"'d red block , blue block 's basically 's teetering","blue = 50, red = 10",tensor([[0.0527]]),<m> blue = red </m>
19,"'d red block , blue block 's basically 's teetering","blue = 10, red = 20",tensor([[0.0608]]),<m> blue = red </m>
20,"'d red block , blue block 's basically 's teetering","blue = 20, red = 20",tensor([[0.0900]]),<m> blue = red </m>
21,"'d red block , blue block 's basically 's teetering","blue = 30, red = 20",tensor([[0.0486]]),<m> blue = red </m>
22,"'d red block , blue block 's basically 's teetering","blue = 40, red = 20",tensor([[0.0451]]),<m> blue = red </m>
23,"'d red block , blue block 's basically 's teetering","blue = 50, red = 20",tensor([[0.0460]]),<m> blue = red </m>
24,"'d red block , blue block 's basically 's teetering","blue = 10, red = 30",tensor([[0.0598]]),<m> blue = red </m>
25,"'d red block , blue block 's basically 's teetering","blue = 20, red = 30",tensor([[0.0436]]),<m> blue = red </m>
