,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,And tell red cube right ten grams yep 're going 're going flip piece paper um,red = 10,tensor([[0.8918]]),<m> red = 10 </m>
1,And tell red cube right ten grams yep 're going 're going flip piece paper um,red != 10,tensor([[0.5032]]),<m> red = 10 </m>
2,And tell red cube right ten grams yep 're going 're going flip piece paper um,red < 10,tensor([[0.7717]]),<m> red = 10 </m>
3,And tell red cube right ten grams yep 're going 're going flip piece paper um,red > 10,tensor([[0.7603]]),<m> red = 10 </m>
4,"needle goes red line means red block , blue block 're probably equal",blue = red,tensor([[0.7269]]),<m> blue = red </m>
5,"needle goes red line means red block , blue block 're probably equal",blue != red,tensor([[0.3146]]),<m> blue = red </m>
6,"needle goes red line means red block , blue block 're probably equal",red < blue,tensor([[0.4975]]),<m> blue = red </m>
7,"needle goes red line means red block , blue block 're probably equal",red > blue,tensor([[0.4879]]),<m> blue = red </m>
8,"needle goes red line means red block , blue block 're probably equal",blue < red,tensor([[0.5119]]),<m> blue = red </m>
9,"needle goes red line means red block , blue block 're probably equal",blue > red,tensor([[0.4830]]),<m> blue = red </m>
10,"needle goes red line means red block , blue block 're probably equal","blue = 10, red = 10",tensor([[0.0169]]),<m> blue = red </m>
11,"needle goes red line means red block , blue block 're probably equal","blue = 20, red = 10",tensor([[0.0109]]),<m> blue = red </m>
12,"needle goes red line means red block , blue block 're probably equal","blue = 30, red = 10",tensor([[0.0083]]),<m> blue = red </m>
13,"needle goes red line means red block , blue block 're probably equal","blue = 40, red = 10",tensor([[0.0070]]),<m> blue = red </m>
14,"needle goes red line means red block , blue block 're probably equal","blue = 50, red = 10",tensor([[0.0090]]),<m> blue = red </m>
15,"needle goes red line means red block , blue block 're probably equal","blue = 10, red = 20",tensor([[0.0095]]),<m> blue = red </m>
16,"needle goes red line means red block , blue block 're probably equal","blue = 20, red = 20",tensor([[0.0113]]),<m> blue = red </m>
17,"needle goes red line means red block , blue block 're probably equal","blue = 30, red = 20",tensor([[0.0075]]),<m> blue = red </m>
18,"needle goes red line means red block , blue block 're probably equal","blue = 40, red = 20",tensor([[0.0064]]),<m> blue = red </m>
19,"needle goes red line means red block , blue block 're probably equal","blue = 50, red = 20",tensor([[0.0085]]),<m> blue = red </m>
20,"needle goes red line means red block , blue block 're probably equal","blue = 10, red = 30",tensor([[0.0083]]),<m> blue = red </m>
21,"needle goes red line means red block , blue block 're probably equal","blue = 20, red = 30",tensor([[0.0072]]),<m> blue = red </m>
22,"needle goes red line means red block , blue block 're probably equal","blue = 30, red = 30",tensor([[0.0105]]),<m> blue = red </m>
23,"needle goes red line means red block , blue block 're probably equal","blue = 40, red = 30",tensor([[0.0073]]),<m> blue = red </m>
24,"needle goes red line means red block , blue block 're probably equal","blue = 50, red = 30",tensor([[0.0083]]),<m> blue = red </m>
25,"needle goes red line means red block , blue block 're probably equal","blue = 10, red = 40",tensor([[0.0073]]),<m> blue = red </m>
26,"needle goes red line means red block , blue block 're probably equal","blue = 20, red = 40",tensor([[0.0074]]),<m> blue = red </m>
27,"needle goes red line means red block , blue block 're probably equal","blue = 30, red = 40",tensor([[0.0065]]),<m> blue = red </m>
28,"needle goes red line means red block , blue block 're probably equal","blue = 40, red = 40",tensor([[0.0061]]),<m> blue = red </m>
29,"needle goes red line means red block , blue block 're probably equal","blue = 50, red = 40",tensor([[0.0071]]),<m> blue = red </m>
30,"needle goes red line means red block , blue block 're probably equal","blue = 10, red = 50",tensor([[0.0077]]),<m> blue = red </m>
31,"needle goes red line means red block , blue block 're probably equal","blue = 20, red = 50",tensor([[0.0081]]),<m> blue = red </m>
32,"needle goes red line means red block , blue block 're probably equal","blue = 30, red = 50",tensor([[0.0080]]),<m> blue = red </m>
33,"needle goes red line means red block , blue block 're probably equal","blue = 40, red = 50",tensor([[0.0057]]),<m> blue = red </m>
34,"needle goes red line means red block , blue block 're probably equal","blue = 50, red = 50",tensor([[0.0093]]),<m> blue = red </m>
35,blue block one probably ten grams,blue = 10,tensor([[0.9766]]),<m> blue = 10 </m>
36,blue block one probably ten grams,blue != 10,tensor([[0.0104]]),<m> blue = 10 </m>
37,blue block one probably ten grams,blue < 10,tensor([[0.0106]]),<m> blue = 10 </m>
38,blue block one probably ten grams,blue > 10,tensor([[0.0081]]),<m> blue = 10 </m>
39,The first two ten,red = 10,tensor([[0.9872]]),"<m> blue = 10, red = 10 </m>"
40,The first two ten,red != 10,tensor([[0.2159]]),"<m> blue = 10, red = 10 </m>"
41,The first two ten,red < 10,tensor([[0.2902]]),"<m> blue = 10, red = 10 </m>"
42,The first two ten,red > 10,tensor([[0.0576]]),"<m> blue = 10, red = 10 </m>"
43,The first two ten,blue = 10,tensor([[0.9787]]),"<m> blue = 10, red = 10 </m>"
44,The first two ten,blue != 10,tensor([[0.0836]]),"<m> blue = 10, red = 10 </m>"
45,The first two ten,blue < 10,tensor([[0.2651]]),"<m> blue = 10, red = 10 </m>"
46,The first two ten,blue > 10,tensor([[0.0444]]),"<m> blue = 10, red = 10 </m>"
47,The first two ten,green = 10,tensor([[0.9830]]),"<m> blue = 10, red = 10 </m>"
48,The first two ten,green != 10,tensor([[0.2826]]),"<m> blue = 10, red = 10 </m>"
49,The first two ten,green < 10,tensor([[0.3736]]),"<m> blue = 10, red = 10 </m>"
50,The first two ten,green > 10,tensor([[0.1790]]),"<m> blue = 10, red = 10 </m>"
51,The first two ten,purple = 10,tensor([[0.9744]]),"<m> blue = 10, red = 10 </m>"
52,The first two ten,purple != 10,tensor([[0.3021]]),"<m> blue = 10, red = 10 </m>"
53,The first two ten,purple < 10,tensor([[0.3615]]),"<m> blue = 10, red = 10 </m>"
54,The first two ten,purple > 10,tensor([[0.2025]]),"<m> blue = 10, red = 10 </m>"
55,The first two ten,yellow = 10,tensor([[0.9859]]),"<m> blue = 10, red = 10 </m>"
56,The first two ten,yellow != 10,tensor([[0.2382]]),"<m> blue = 10, red = 10 </m>"
57,The first two ten,yellow < 10,tensor([[0.3359]]),"<m> blue = 10, red = 10 </m>"
58,The first two ten,yellow > 10,tensor([[0.0716]]),"<m> blue = 10, red = 10 </m>"
59,The first two ten,"blue = 10, green = 10, red = 10",tensor([[0.0402]]),"<m> blue = 10, red = 10 </m>"
60,The first two ten,"blue = 10, purple = 10, red = 10",tensor([[0.0401]]),"<m> blue = 10, red = 10 </m>"
61,The first two ten,"blue = 10, red = 10, yellow = 10",tensor([[0.0312]]),"<m> blue = 10, red = 10 </m>"
62,The first two ten,"green = 10, purple = 10, red = 10",tensor([[0.0329]]),"<m> blue = 10, red = 10 </m>"
63,The first two ten,"green = 10, red = 10, yellow = 10",tensor([[0.0286]]),"<m> blue = 10, red = 10 </m>"
64,The first two ten,"purple = 10, red = 10, yellow = 10",tensor([[0.0254]]),"<m> blue = 10, red = 10 </m>"
65,The first two ten,"blue = 10, green = 10, purple = 10",tensor([[0.0345]]),"<m> blue = 10, red = 10 </m>"
66,The first two ten,"blue = 10, green = 10, yellow = 10",tensor([[0.0345]]),"<m> blue = 10, red = 10 </m>"
67,The first two ten,"blue = 10, purple = 10, yellow = 10",tensor([[0.0334]]),"<m> blue = 10, red = 10 </m>"
68,The first two ten,"green = 10, purple = 10, yellow = 10",tensor([[0.0225]]),"<m> blue = 10, red = 10 </m>"
69,The first two ten,"blue = 10, red = 10",tensor([[0.1805]]),"<m> blue = 10, red = 10 </m>"
70,The first two ten,"green = 10, red = 10",tensor([[0.2415]]),"<m> blue = 10, red = 10 </m>"
71,The first two ten,"purple = 10, red = 10",tensor([[0.1203]]),"<m> blue = 10, red = 10 </m>"
72,The first two ten,"red = 10, yellow = 10",tensor([[0.1422]]),"<m> blue = 10, red = 10 </m>"
73,The first two ten,"blue = 10, green = 10",tensor([[0.1942]]),"<m> blue = 10, red = 10 </m>"
74,The first two ten,"blue = 10, purple = 10",tensor([[0.1180]]),"<m> blue = 10, red = 10 </m>"
75,The first two ten,"blue = 10, yellow = 10",tensor([[0.1917]]),"<m> blue = 10, red = 10 </m>"
76,The first two ten,"green = 10, purple = 10",tensor([[0.1499]]),"<m> blue = 10, red = 10 </m>"
77,The first two ten,"green = 10, yellow = 10",tensor([[0.2679]]),"<m> blue = 10, red = 10 </m>"
78,The first two ten,"purple = 10, yellow = 10",tensor([[0.1187]]),"<m> blue = 10, red = 10 </m>"
79,The first two ten,"blue = 10, green = 10, purple = 10, red = 10",tensor([[0.0152]]),"<m> blue = 10, red = 10 </m>"
80,The first two ten,"blue = 10, green = 10, red = 10, yellow = 10",tensor([[0.0182]]),"<m> blue = 10, red = 10 </m>"
81,The first two ten,"blue = 10, purple = 10, red = 10, yellow = 10",tensor([[0.0134]]),"<m> blue = 10, red = 10 </m>"
82,The first two ten,"green = 10, purple = 10, red = 10, yellow = 10",tensor([[0.0127]]),"<m> blue = 10, red = 10 </m>"
83,The first two ten,"blue = 10, green = 10, purple = 10, yellow = 10",tensor([[0.0135]]),"<m> blue = 10, red = 10 </m>"
84,knowing oh sorry green one,green = 10,tensor([[0.9166]]),<m> green = 20 </m>
85,knowing oh sorry green one,green = 20,tensor([[0.8923]]),<m> green = 20 </m>
86,knowing oh sorry green one,green = 30,tensor([[0.9054]]),<m> green = 20 </m>
87,knowing oh sorry green one,green = 40,tensor([[0.7792]]),<m> green = 20 </m>
88,knowing oh sorry green one,green = 50,tensor([[0.8727]]),<m> green = 20 </m>
89,knowing oh sorry green one,green != 10,tensor([[0.0063]]),<m> green = 20 </m>
90,knowing oh sorry green one,green != 20,tensor([[0.0060]]),<m> green = 20 </m>
91,knowing oh sorry green one,green != 30,tensor([[0.0063]]),<m> green = 20 </m>
92,knowing oh sorry green one,green != 40,tensor([[0.0054]]),<m> green = 20 </m>
93,knowing oh sorry green one,green != 50,tensor([[0.0063]]),<m> green = 20 </m>
94,knowing oh sorry green one,green < 10,tensor([[0.0055]]),<m> green = 20 </m>
95,knowing oh sorry green one,green < 20,tensor([[0.0100]]),<m> green = 20 </m>
96,knowing oh sorry green one,green < 30,tensor([[0.0060]]),<m> green = 20 </m>
97,knowing oh sorry green one,green < 40,tensor([[0.0078]]),<m> green = 20 </m>
98,knowing oh sorry green one,green < 50,tensor([[0.0175]]),<m> green = 20 </m>
99,knowing oh sorry green one,green > 10,tensor([[0.0036]]),<m> green = 20 </m>
100,knowing oh sorry green one,green > 20,tensor([[0.0042]]),<m> green = 20 </m>
101,knowing oh sorry green one,green > 30,tensor([[0.0049]]),<m> green = 20 </m>
102,knowing oh sorry green one,green > 40,tensor([[0.0039]]),<m> green = 20 </m>
103,knowing oh sorry green one,green > 50,tensor([[0.0053]]),<m> green = 20 </m>
104,'s increment five could probably go thirty purple block,purple = 30,tensor([[0.7940]]),<m> purple = 30 </m>
105,'s increment five could probably go thirty purple block,purple != 30,tensor([[0.1455]]),<m> purple = 30 </m>
106,'s increment five could probably go thirty purple block,purple < 30,tensor([[0.2896]]),<m> purple = 30 </m>
107,'s increment five could probably go thirty purple block,purple > 30,tensor([[0.3140]]),<m> purple = 30 </m>
108,"purple block , green block 's twenty thirty","green = 20, purple = 30",tensor([[0.1680]]),"<m> green = 20, purple = 30 </m>"
109,"purple block , green block 's twenty thirty","green = 30, purple = 20",tensor([[0.1535]]),"<m> green = 20, purple = 30 </m>"
