,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,And tell red cube top ten grams,red = 10,tensor([[0.9452]]),<m> red = 10 </m>
1,And tell red cube top ten grams,red != 10,tensor([[0.1207]]),<m> red = 10 </m>
2,And tell red cube top ten grams,red < 10,tensor([[0.1207]]),<m> red = 10 </m>
3,And tell red cube top ten grams,red > 10,tensor([[0.1187]]),<m> red = 10 </m>
4,red block would nine minus ten,red = 10,tensor([[0.9658]]),<m> red = 10 </m>
5,red block would nine minus ten,red != 10,tensor([[0.5804]]),<m> red = 10 </m>
6,red block would nine minus ten,red < 10,tensor([[0.6444]]),<m> red = 10 </m>
7,red block would nine minus ten,red > 10,tensor([[0.3967]]),<m> red = 10 </m>
8,"red block , blue block seems pretty balanced",blue = red,tensor([[0.9680]]),<m> blue = red </m>
9,"red block , blue block seems pretty balanced",blue != red,tensor([[0.8177]]),<m> blue = red </m>
10,"red block , blue block seems pretty balanced",red < blue,tensor([[0.8971]]),<m> blue = red </m>
11,"red block , blue block seems pretty balanced",red > blue,tensor([[0.9497]]),<m> blue = red </m>
12,"red block , blue block seems pretty balanced",blue < red,tensor([[0.8851]]),<m> blue = red </m>
13,"red block , blue block seems pretty balanced",blue > red,tensor([[0.9580]]),<m> blue = red </m>
14,"red block , blue block seems pretty balanced","blue = 10, red = 10",tensor([[0.2536]]),<m> blue = red </m>
15,"red block , blue block seems pretty balanced","blue = 20, red = 10",tensor([[0.0587]]),<m> blue = red </m>
16,"red block , blue block seems pretty balanced","blue = 30, red = 10",tensor([[0.0639]]),<m> blue = red </m>
17,"red block , blue block seems pretty balanced","blue = 40, red = 10",tensor([[0.0628]]),<m> blue = red </m>
18,"red block , blue block seems pretty balanced","blue = 50, red = 10",tensor([[0.0603]]),<m> blue = red </m>
19,"red block , blue block seems pretty balanced","blue = 10, red = 20",tensor([[0.0722]]),<m> blue = red </m>
20,"red block , blue block seems pretty balanced","blue = 20, red = 20",tensor([[0.1436]]),<m> blue = red </m>
21,"red block , blue block seems pretty balanced","blue = 30, red = 20",tensor([[0.0762]]),<m> blue = red </m>
22,"red block , blue block seems pretty balanced","blue = 40, red = 20",tensor([[0.0770]]),<m> blue = red </m>
23,"red block , blue block seems pretty balanced","blue = 50, red = 20",tensor([[0.0770]]),<m> blue = red </m>
24,"red block , blue block seems pretty balanced","blue = 10, red = 30",tensor([[0.0683]]),<m> blue = red </m>
25,"red block , blue block seems pretty balanced","blue = 20, red = 30",tensor([[0.0685]]),<m> blue = red </m>
26,"red block , blue block seems pretty balanced","blue = 30, red = 30",tensor([[0.1324]]),<m> blue = red </m>
27,"red block , blue block seems pretty balanced","blue = 40, red = 30",tensor([[0.0768]]),<m> blue = red </m>
28,"red block , blue block seems pretty balanced","blue = 50, red = 30",tensor([[0.0774]]),<m> blue = red </m>
29,"red block , blue block seems pretty balanced","blue = 10, red = 40",tensor([[0.0721]]),<m> blue = red </m>
30,"red block , blue block seems pretty balanced","blue = 20, red = 40",tensor([[0.0711]]),<m> blue = red </m>
31,"red block , blue block seems pretty balanced","blue = 30, red = 40",tensor([[0.0681]]),<m> blue = red </m>
32,"red block , blue block seems pretty balanced","blue = 40, red = 40",tensor([[0.1198]]),<m> blue = red </m>
33,"red block , blue block seems pretty balanced","blue = 50, red = 40",tensor([[0.0737]]),<m> blue = red </m>
