,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,I tell red cube ten grams,red = 10,tensor([[0.9898]]),<m> red = 10 </m>
1,I tell red cube ten grams,red != 10,tensor([[0.0251]]),<m> red = 10 </m>
2,I tell red cube ten grams,red < 10,tensor([[0.0313]]),<m> red = 10 </m>
3,I tell red cube ten grams,red > 10,tensor([[0.0323]]),<m> red = 10 </m>
4,Well top ten,red = 10,tensor([[0.9645]]),<m> blue = 10 </m>
5,Well top ten,red != 10,tensor([[0.2056]]),<m> blue = 10 </m>
6,Well top ten,red < 10,tensor([[0.6471]]),<m> blue = 10 </m>
7,Well top ten,red > 10,tensor([[0.8532]]),<m> blue = 10 </m>
8,Well top ten,blue = 10,tensor([[0.9038]]),<m> blue = 10 </m>
9,Well top ten,blue != 10,tensor([[0.4823]]),<m> blue = 10 </m>
10,Well top ten,blue < 10,tensor([[0.7390]]),<m> blue = 10 </m>
11,Well top ten,blue > 10,tensor([[0.9267]]),<m> blue = 10 </m>
12,Well top ten,green = 10,tensor([[0.9290]]),<m> blue = 10 </m>
13,Well top ten,green != 10,tensor([[0.3457]]),<m> blue = 10 </m>
14,Well top ten,green < 10,tensor([[0.7415]]),<m> blue = 10 </m>
15,Well top ten,green > 10,tensor([[0.9016]]),<m> blue = 10 </m>
16,Well top ten,purple = 10,tensor([[0.8734]]),<m> blue = 10 </m>
17,Well top ten,purple != 10,tensor([[0.6924]]),<m> blue = 10 </m>
18,Well top ten,purple < 10,tensor([[0.9104]]),<m> blue = 10 </m>
19,Well top ten,purple > 10,tensor([[1.0189]]),<m> blue = 10 </m>
20,Well top ten,yellow = 10,tensor([[0.9057]]),<m> blue = 10 </m>
21,Well top ten,yellow != 10,tensor([[0.5268]]),<m> blue = 10 </m>
22,Well top ten,yellow < 10,tensor([[0.7500]]),<m> blue = 10 </m>
23,Well top ten,yellow > 10,tensor([[0.9119]]),<m> blue = 10 </m>
24,Well top ten,"blue = 10, green = 10, red = 10",tensor([[0.0205]]),<m> blue = 10 </m>
25,Well top ten,"blue = 10, purple = 10, red = 10",tensor([[0.0231]]),<m> blue = 10 </m>
26,Well top ten,"blue = 10, red = 10, yellow = 10",tensor([[0.0171]]),<m> blue = 10 </m>
27,Well top ten,"green = 10, purple = 10, red = 10",tensor([[0.0232]]),<m> blue = 10 </m>
28,Well top ten,"green = 10, red = 10, yellow = 10",tensor([[0.0194]]),<m> blue = 10 </m>
29,Well top ten,"purple = 10, red = 10, yellow = 10",tensor([[0.0225]]),<m> blue = 10 </m>
30,Well top ten,"blue = 10, green = 10, purple = 10",tensor([[0.0231]]),<m> blue = 10 </m>
31,Well top ten,"blue = 10, green = 10, yellow = 10",tensor([[0.0179]]),<m> blue = 10 </m>
32,Well top ten,"blue = 10, purple = 10, yellow = 10",tensor([[0.0229]]),<m> blue = 10 </m>
33,Well top ten,"green = 10, purple = 10, yellow = 10",tensor([[0.0226]]),<m> blue = 10 </m>
34,Well top ten,"blue = 10, red = 10",tensor([[0.1192]]),<m> blue = 10 </m>
35,Well top ten,"green = 10, red = 10",tensor([[0.2006]]),<m> blue = 10 </m>
36,Well top ten,"purple = 10, red = 10",tensor([[0.2935]]),<m> blue = 10 </m>
37,Well top ten,"red = 10, yellow = 10",tensor([[0.1071]]),<m> blue = 10 </m>
38,Well top ten,"blue = 10, green = 10",tensor([[0.2626]]),<m> blue = 10 </m>
39,Well top ten,"blue = 10, purple = 10",tensor([[0.3051]]),<m> blue = 10 </m>
40,Well top ten,"blue = 10, yellow = 10",tensor([[0.1169]]),<m> blue = 10 </m>
41,Well top ten,"green = 10, purple = 10",tensor([[0.4139]]),<m> blue = 10 </m>
42,Well top ten,"green = 10, yellow = 10",tensor([[0.1501]]),<m> blue = 10 </m>
43,Well top ten,"purple = 10, yellow = 10",tensor([[0.2898]]),<m> blue = 10 </m>
44,Well top ten,"blue = 10, green = 10, purple = 10, red = 10",tensor([[0.0144]]),<m> blue = 10 </m>
45,Well top ten,"blue = 10, green = 10, red = 10, yellow = 10",tensor([[0.0136]]),<m> blue = 10 </m>
46,Well top ten,"blue = 10, purple = 10, red = 10, yellow = 10",tensor([[0.0136]]),<m> blue = 10 </m>
47,Well top ten,"green = 10, purple = 10, red = 10, yellow = 10",tensor([[0.0142]]),<m> blue = 10 </m>
48,Well top ten,"blue = 10, green = 10, purple = 10, yellow = 10",tensor([[0.0140]]),<m> blue = 10 </m>
49,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",red = 10,tensor([[1.0540]]),<m> green = 20 </m>
50,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",red = 20,tensor([[1.0604]]),<m> green = 20 </m>
51,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",red = 30,tensor([[1.0537]]),<m> green = 20 </m>
52,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",red = 40,tensor([[1.0543]]),<m> green = 20 </m>
53,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",red = 50,tensor([[1.0532]]),<m> green = 20 </m>
54,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",blue = red,tensor([[1.0700]]),<m> green = 20 </m>
55,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",green = red,tensor([[1.1153]]),<m> green = 20 </m>
