,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,The red cube ten grams,red = 10,tensor([[0.6949]]),<m> red = 10 </m>
1,The red cube ten grams,red != 10,tensor([[0.1027]]),<m> red = 10 </m>
2,The red cube ten grams,red < 10,tensor([[0.0805]]),<m> red = 10 </m>
3,The red cube ten grams,red > 10,tensor([[0.0789]]),<m> red = 10 </m>
4,"would red block , blue block 's equal probably",blue = red,tensor([[0.8927]]),<m> blue = red </m>
5,"would red block , blue block 's equal probably",blue != red,tensor([[0.6719]]),<m> blue = red </m>
6,"would red block , blue block 's equal probably",red < blue,tensor([[0.2267]]),<m> blue = red </m>
7,"would red block , blue block 's equal probably",red > blue,tensor([[0.3108]]),<m> blue = red </m>
8,"would red block , blue block 's equal probably",blue < red,tensor([[0.2439]]),<m> blue = red </m>
9,"would red block , blue block 's equal probably",blue > red,tensor([[0.4881]]),<m> blue = red </m>
10,"would red block , blue block 's equal probably","blue = 10, red = 10",tensor([[0.0549]]),<m> blue = red </m>
11,"would red block , blue block 's equal probably","blue = 20, red = 10",tensor([[0.0083]]),<m> blue = red </m>
12,"would red block , blue block 's equal probably","blue = 30, red = 10",tensor([[0.0079]]),<m> blue = red </m>
13,"would red block , blue block 's equal probably","blue = 40, red = 10",tensor([[0.0089]]),<m> blue = red </m>
14,"would red block , blue block 's equal probably","blue = 50, red = 10",tensor([[0.0083]]),<m> blue = red </m>
15,"would red block , blue block 's equal probably","blue = 10, red = 20",tensor([[0.0081]]),<m> blue = red </m>
16,"would red block , blue block 's equal probably","blue = 20, red = 20",tensor([[0.0252]]),<m> blue = red </m>
17,"would red block , blue block 's equal probably","blue = 30, red = 20",tensor([[0.0055]]),<m> blue = red </m>
18,"would red block , blue block 's equal probably","blue = 40, red = 20",tensor([[0.0056]]),<m> blue = red </m>
19,"would red block , blue block 's equal probably","blue = 50, red = 20",tensor([[0.0055]]),<m> blue = red </m>
20,"would red block , blue block 's equal probably","blue = 10, red = 30",tensor([[0.0085]]),<m> blue = red </m>
21,"would red block , blue block 's equal probably","blue = 20, red = 30",tensor([[0.0063]]),<m> blue = red </m>
22,"would red block , blue block 's equal probably","blue = 30, red = 30",tensor([[0.0220]]),<m> blue = red </m>
23,"would red block , blue block 's equal probably","blue = 40, red = 30",tensor([[0.0055]]),<m> blue = red </m>
24,"would red block , blue block 's equal probably","blue = 50, red = 30",tensor([[0.0043]]),<m> blue = red </m>
25,"would red block , blue block 's equal probably","blue = 10, red = 40",tensor([[0.0103]]),<m> blue = red </m>
26,"would red block , blue block 's equal probably","blue = 20, red = 40",tensor([[0.0063]]),<m> blue = red </m>
27,"would red block , blue block 's equal probably","blue = 30, red = 40",tensor([[0.0075]]),<m> blue = red </m>
28,"would red block , blue block 's equal probably","blue = 40, red = 40",tensor([[0.0237]]),<m> blue = red </m>
29,"would red block , blue block 's equal probably","blue = 50, red = 40",tensor([[0.0043]]),<m> blue = red </m>
30,"would red block , blue block 's equal probably","blue = 10, red = 50",tensor([[0.0078]]),<m> blue = red </m>
31,"would red block , blue block 's equal probably","blue = 20, red = 50",tensor([[0.0055]]),<m> blue = red </m>
32,"would red block , blue block 's equal probably","blue = 30, red = 50",tensor([[0.0046]]),<m> blue = red </m>
33,"would red block , blue block 's equal probably","blue = 40, red = 50",tensor([[0.0049]]),<m> blue = red </m>
34,"would red block , blue block 's equal probably","blue = 50, red = 50",tensor([[0.0099]]),<m> blue = red </m>
35,"red block , blue block , green block 's probably equal",red = blue + green,tensor([[0.8199]]),<m> green = blue + red </m>
36,"red block , blue block , green block 's probably equal",red != blue + green,tensor([[0.8809]]),<m> green = blue + red </m>
37,"red block , blue block , green block 's probably equal",red < blue + green,tensor([[0.8584]]),<m> green = blue + red </m>
38,"red block , blue block , green block 's probably equal",red > blue + green,tensor([[0.8543]]),<m> green = blue + red </m>
39,"red block , blue block , green block 's probably equal",blue = green + red,tensor([[0.7535]]),<m> green = blue + red </m>
40,"red block , blue block , green block 's probably equal",blue != green + red,tensor([[0.8816]]),<m> green = blue + red </m>
