,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,The red cube ten grams,red = 10,tensor([[0.9099]]),<m> red = 10 </m>
1,The red cube ten grams,red != 10,tensor([[0.4496]]),<m> red = 10 </m>
2,The red cube ten grams,red < 10,tensor([[0.3603]]),<m> red = 10 </m>
3,The red cube ten grams,red > 10,tensor([[0.4411]]),<m> red = 10 </m>
4,"would red block , blue block 's equal probably",blue = red,tensor([[0.8765]]),<m> blue = red </m>
5,"would red block , blue block 's equal probably",blue != red,tensor([[0.6114]]),<m> blue = red </m>
6,"would red block , blue block 's equal probably",red < blue,tensor([[0.6937]]),<m> blue = red </m>
7,"would red block , blue block 's equal probably",red > blue,tensor([[0.2602]]),<m> blue = red </m>
8,"would red block , blue block 's equal probably",blue < red,tensor([[0.8691]]),<m> blue = red </m>
9,"would red block , blue block 's equal probably",blue > red,tensor([[0.5857]]),<m> blue = red </m>
10,"would red block , blue block 's equal probably","blue = 10, red = 10",tensor([[0.1118]]),<m> blue = red </m>
11,"would red block , blue block 's equal probably","blue = 20, red = 10",tensor([[0.0264]]),<m> blue = red </m>
12,"would red block , blue block 's equal probably","blue = 30, red = 10",tensor([[0.0448]]),<m> blue = red </m>
13,"would red block , blue block 's equal probably","blue = 40, red = 10",tensor([[0.0809]]),<m> blue = red </m>
14,"would red block , blue block 's equal probably","blue = 50, red = 10",tensor([[0.0291]]),<m> blue = red </m>
15,"would red block , blue block 's equal probably","blue = 10, red = 20",tensor([[0.0242]]),<m> blue = red </m>
16,"would red block , blue block 's equal probably","blue = 20, red = 20",tensor([[0.0276]]),<m> blue = red </m>
17,"would red block , blue block 's equal probably","blue = 30, red = 20",tensor([[0.0245]]),<m> blue = red </m>
18,"would red block , blue block 's equal probably","blue = 40, red = 20",tensor([[0.0490]]),<m> blue = red </m>
19,"would red block , blue block 's equal probably","blue = 50, red = 20",tensor([[0.0235]]),<m> blue = red </m>
20,"would red block , blue block 's equal probably","blue = 10, red = 30",tensor([[0.0671]]),<m> blue = red </m>
21,"would red block , blue block 's equal probably","blue = 20, red = 30",tensor([[0.0637]]),<m> blue = red </m>
22,"would red block , blue block 's equal probably","blue = 30, red = 30",tensor([[0.0765]]),<m> blue = red </m>
23,"would red block , blue block 's equal probably","blue = 40, red = 30",tensor([[0.0731]]),<m> blue = red </m>
24,"would red block , blue block 's equal probably","blue = 50, red = 30",tensor([[0.0544]]),<m> blue = red </m>
25,"would red block , blue block 's equal probably","blue = 10, red = 40",tensor([[0.1121]]),<m> blue = red </m>
26,"would red block , blue block 's equal probably","blue = 20, red = 40",tensor([[0.0643]]),<m> blue = red </m>
27,"would red block , blue block 's equal probably","blue = 30, red = 40",tensor([[0.0715]]),<m> blue = red </m>
28,"would red block , blue block 's equal probably","blue = 40, red = 40",tensor([[0.0559]]),<m> blue = red </m>
29,"would red block , blue block 's equal probably","blue = 50, red = 40",tensor([[0.0597]]),<m> blue = red </m>
30,"would red block , blue block 's equal probably","blue = 10, red = 50",tensor([[0.0227]]),<m> blue = red </m>
31,"would red block , blue block 's equal probably","blue = 20, red = 50",tensor([[0.0228]]),<m> blue = red </m>
32,"would red block , blue block 's equal probably","blue = 30, red = 50",tensor([[0.0219]]),<m> blue = red </m>
33,"would red block , blue block 's equal probably","blue = 40, red = 50",tensor([[0.0250]]),<m> blue = red </m>
34,"would red block , blue block 's equal probably","blue = 50, red = 50",tensor([[0.0231]]),<m> blue = red </m>
35,"red block , blue block , green block 's probably equal",red = blue + green,tensor([[0.1517]]),<m> green = blue + red </m>
36,"red block , blue block , green block 's probably equal",red != blue + green,tensor([[0.0383]]),<m> green = blue + red </m>
37,"red block , blue block , green block 's probably equal",red < blue + green,tensor([[0.0667]]),<m> green = blue + red </m>
38,"red block , blue block , green block 's probably equal",red > blue + green,tensor([[0.1314]]),<m> green = blue + red </m>
39,"red block , blue block , green block 's probably equal",blue = green + red,tensor([[0.0799]]),<m> green = blue + red </m>
40,"red block , blue block , green block 's probably equal",blue != green + red,tensor([[0.0262]]),<m> green = blue + red </m>
41,"red block , blue block , green block 's probably equal",blue < green + red,tensor([[0.0404]]),<m> green = blue + red </m>
42,"red block , blue block , green block 's probably equal",blue > green + red,tensor([[0.0529]]),<m> green = blue + red </m>
43,"red block , blue block , green block 's probably equal",green = blue + red,tensor([[0.2043]]),<m> green = blue + red </m>
44,"red block , blue block , green block 's probably equal",green != blue + red,tensor([[0.0319]]),<m> green = blue + red </m>
45,"red block , blue block , green block 's probably equal",green < blue + red,tensor([[0.0629]]),<m> green = blue + red </m>
46,"red block , blue block , green block 's probably equal",green > blue + red,tensor([[0.0748]]),<m> green = blue + red </m>
47,"red block , blue block , green block 's probably equal","blue = 10, green = 10, red = 10",tensor([[0.4436]]),<m> green = blue + red </m>
48,"red block , blue block , green block 's probably equal","blue = 10, green = 20, red = 10",tensor([[0.4401]]),<m> green = blue + red </m>
49,"red block , blue block , green block 's probably equal","blue = 10, green = 30, red = 10",tensor([[0.4236]]),<m> green = blue + red </m>
50,"red block , blue block , green block 's probably equal","blue = 10, green = 40, red = 10",tensor([[0.4228]]),<m> green = blue + red </m>
51,"red block , blue block , green block 's probably equal","blue = 10, green = 50, red = 10",tensor([[0.4301]]),<m> green = blue + red </m>
52,"red block , blue block , green block 's probably equal","blue = 20, green = 10, red = 10",tensor([[0.4415]]),<m> green = blue + red </m>
53,"red block , blue block , green block 's probably equal","blue = 20, green = 20, red = 10",tensor([[0.4384]]),<m> green = blue + red </m>
54,"red block , blue block , green block 's probably equal","blue = 20, green = 30, red = 10",tensor([[0.3099]]),<m> green = blue + red </m>
55,"red block , blue block , green block 's probably equal","blue = 20, green = 40, red = 10",tensor([[0.3371]]),<m> green = blue + red </m>
56,"red block , blue block , green block 's probably equal","blue = 20, green = 50, red = 10",tensor([[0.3363]]),<m> green = blue + red </m>
57,"red block , blue block , green block 's probably equal","blue = 30, green = 10, red = 10",tensor([[0.4096]]),<m> green = blue + red </m>
58,"red block , blue block , green block 's probably equal","blue = 30, green = 20, red = 10",tensor([[0.3679]]),<m> green = blue + red </m>
59,"red block , blue block , green block 's probably equal","blue = 30, green = 30, red = 10",tensor([[0.3116]]),<m> green = blue + red </m>
60,"red block , blue block , green block 's probably equal","blue = 30, green = 40, red = 10",tensor([[0.2174]]),<m> green = blue + red </m>
61,"red block , blue block , green block 's probably equal","blue = 30, green = 50, red = 10",tensor([[0.2280]]),<m> green = blue + red </m>
