,transcript,common_ground,scores,actual_common_ground,Group
0,I tell red cube ten grams,red = 10,0.9387801,<m> red = 10 </m>,10
1,I tell red cube ten grams,red < 10,0.05980961,<m> red = 10 </m>,10
2,I tell red cube ten grams,red > 10,0.059742898,<m> red = 10 </m>,10
3,I tell red cube ten grams,red != 10,0.058439627,<m> red = 10 </m>,10
4,"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 10",0.46473688,"<m> blue = 10, green = 20, red = 10 </m>",10
5,"green block twenty red block , blue block ten ten","blue = 10, green = 10, red = 20",0.3974359,"<m> blue = 10, green = 20, red = 10 </m>",10
6,"green block twenty red block , blue block ten ten","blue = 20, green = 10, red = 10",0.37647516,"<m> blue = 10, green = 20, red = 10 </m>",10
7,"green block twenty red block , blue block ten ten","blue = 20, green = 20, red = 10",0.2550636,"<m> blue = 10, green = 20, red = 10 </m>",10
8,"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 20",0.19002393,"<m> blue = 10, green = 20, red = 10 </m>",10
9,"looks red block , blue block 're fairly equal",blue = red,0.9435479,<m> blue = red </m>,10
10,"looks red block , blue block 're fairly equal",blue > red,0.8676257,<m> blue = red </m>,10
11,"looks red block , blue block 're fairly equal",red > blue,0.7225045,<m> blue = red </m>,10
12,"looks red block , blue block 're fairly equal",blue != red,0.67264175,<m> blue = red </m>,10
13,"looks red block , blue block 're fairly equal","blue = 10, red = 10",0.3574779,<m> blue = red </m>,10
14,"right green block 's twenty red block , blue block two ten","blue = 10, green = 20, red = 10",0.08781549,"<m> blue = 10, green = 20, red = 10 </m>",10
15,"right green block 's twenty red block , blue block two ten","blue = 10, green = 10, red = 20",0.0789618,"<m> blue = 10, green = 20, red = 10 </m>",10
16,"right green block 's twenty red block , blue block two ten","blue = 20, green = 10, red = 10",0.064898275,"<m> blue = 10, green = 20, red = 10 </m>",10
17,"right green block 's twenty red block , blue block two ten","blue = 10, green = 20, red = 20",0.031595647,"<m> blue = 10, green = 20, red = 10 </m>",10
18,"right green block 's twenty red block , blue block two ten","blue = 20, green = 10, red = 20",0.027892176,"<m> blue = 10, green = 20, red = 10 </m>",10
19,"red block , blue block 're together",blue = red,0.93463886,<m> blue = red </m>,10
20,"red block , blue block 're together",blue > red,0.34165955,<m> blue = red </m>,10
21,"red block , blue block 're together",red > blue,0.2080579,<m> blue = red </m>,10
22,"red block , blue block 're together",blue != red,0.11790504,<m> blue = red </m>,10
23,"red block , blue block 're together",blue < red,0.10683499,<m> blue = red </m>,10
24,"alright let 's green block , purple block two already tell purple block one 's heavier",green = purple,0.94521,<m> purple > green </m>,10
25,"alright let 's green block , purple block two already tell purple block one 's heavier",purple > green,0.9291799,<m> purple > green </m>,10
26,"alright let 's green block , purple block two already tell purple block one 's heavier",green > purple,0.9269154,<m> purple > green </m>,10
27,"alright let 's green block , purple block two already tell purple block one 's heavier",green != purple,0.8435024,<m> purple > green </m>,10
28,"alright let 's green block , purple block two already tell purple block one 's heavier",green < purple,0.54367465,<m> purple > green </m>,10
29,"green block , red block , purple block equal green block , red block , purple block instructions suppose",red > green + purple,0.9477278,<m> purple = green + red </m>,10
30,"green block , red block , purple block equal green block , red block , purple block instructions suppose",red != green + purple,0.9470861,<m> purple = green + red </m>,10
31,"green block , red block , purple block equal green block , red block , purple block instructions suppose",purple > green + red,0.94671863,<m> purple = green + red </m>,10
32,"green block , red block , purple block equal green block , red block , purple block instructions suppose",red < green + purple,0.9462755,<m> purple = green + red </m>,10
33,"green block , red block , purple block equal green block , red block , purple block instructions suppose",green != purple + red,0.94610953,<m> purple = green + red </m>,10
34,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",yellow > blue + green + purple + red,0.946714,<m> purple > green + red </m>,10
35,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",purple > blue + green + red + yellow,0.94670105,<m> purple > green + red </m>,10
36,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",purple < blue + green + red + yellow,0.94670105,<m> purple > green + red </m>,10
37,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",green < blue + purple + red + yellow,0.946612,<m> purple > green + red </m>,10
38,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",red > blue + green + purple,0.9464844,<m> purple > green + red </m>,10
39,moved green block checked two tens remember n't green block one okay sure sure sure put thirty thirty,red = 30,0.9477314,<m> purple = 30 </m>,10
