,transcript,common_ground,scores,actual_common_ground,Group
0,I tell red cube ten grams,red = 10,0.9823864,<m> red = 10 </m>,6
1,I tell red cube ten grams,red != 10,0.017528757,<m> red = 10 </m>,6
2,I tell red cube ten grams,red < 10,0.0147545375,<m> red = 10 </m>,6
3,I tell red cube ten grams,red > 10,0.009977279,<m> red = 10 </m>,6
4,red block red one 's ten grams,red = 10,0.9855009,<m> red = 10 </m>,6
5,red block red one 's ten grams,red != 10,0.11259469,<m> red = 10 </m>,6
6,red block red one 's ten grams,red < 10,0.09517181,<m> red = 10 </m>,6
7,red block red one 's ten grams,red > 10,0.06802745,<m> red = 10 </m>,6
8,"seems red block , blue block might",blue = red,0.98865896,<m> blue = red </m>,6
9,"seems red block , blue block might",blue > red,0.67618793,<m> blue = red </m>,6
10,"seems red block , blue block might",red > blue,0.5829154,<m> blue = red </m>,6
11,"seems red block , blue block might",blue != red,0.4888382,<m> blue = red </m>,6
12,"seems red block , blue block might",blue < red,0.40724126,<m> blue = red </m>,6
13,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 20, red = 10",0.23723292,"<m> green = 20, red = 10 </m>",6
14,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 10, red = 20",0.1988098,"<m> green = 20, red = 10 </m>",6
15,purple block 's twenty almost seems thirty takes past,purple = 30,0.73052216,<m> purple > 20 </m>,6
16,purple block 's twenty almost seems thirty takes past,purple = 20,0.6652793,<m> purple > 20 </m>,6
17,purple block 's twenty almost seems thirty takes past,purple < 30,0.16341642,<m> purple > 20 </m>,6
18,purple block 's twenty almost seems thirty takes past,purple < 20,0.15121512,<m> purple > 20 </m>,6
19,purple block 's twenty almost seems thirty takes past,purple > 30,0.13871193,<m> purple > 20 </m>,6
20,Fifty,purple = 50,0.9533923,<m> yellow = 50 </m>,6
21,Fifty,yellow = 50,0.94165146,<m> yellow = 50 </m>,6
22,Fifty,blue = 50,0.9334402,<m> yellow = 50 </m>,6
23,Fifty,red = 50,0.88282,<m> yellow = 50 </m>,6
24,Fifty,green = 50,0.87831587,<m> yellow = 50 </m>,6
25,purple block 's thirty green twenty,"green = 20, purple = 30",0.25284496,"<m> green = 20, purple = 30 </m>",6
26,purple block 's thirty green twenty,"green = 30, purple = 20",0.21018265,"<m> green = 20, purple = 30 </m>",6
27,red small blue ten,"blue = 10, red = 10",0.63759726,"<m> blue = 10, red = 10 </m>",6
28,would yellow forty five could fifty since 're,yellow = 40,0.96352756,<m> yellow = 50 </m>,6
29,would yellow forty five could fifty since 're,yellow = 50,0.936668,<m> yellow = 50 </m>,6
30,would yellow forty five could fifty since 're,"green = 10, yellow = 40",0.21950322,<m> yellow = 50 </m>,6
31,would yellow forty five could fifty since 're,"blue = 10, yellow = 40",0.18918656,<m> yellow = 50 </m>,6
32,would yellow forty five could fifty since 're,"green = 10, yellow = 50",0.16799046,<m> yellow = 50 </m>,6
