,transcript,common_ground,scores,actual_common_ground,Group
0,I tell red cube ten grams,red = 10,0.9784713,<m> red = 10 </m>,10
1,I tell red cube ten grams,red > 10,0.0045140944,<m> red = 10 </m>,10
2,I tell red cube ten grams,red != 10,0.0030020764,<m> red = 10 </m>,10
3,I tell red cube ten grams,red < 10,0.0023898715,<m> red = 10 </m>,10
4,"green block twenty red block , blue block ten ten","blue = 20, green = 20, red = 10",0.30118746,"<m> blue = 10, green = 20, red = 10 </m>",10
5,"green block twenty red block , blue block ten ten","blue = 20, green = 10, red = 10",0.30105716,"<m> blue = 10, green = 20, red = 10 </m>",10
6,"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 10",0.295505,"<m> blue = 10, green = 20, red = 10 </m>",10
7,"green block twenty red block , blue block ten ten","blue = 20, green = 10, red = 20",0.27814132,"<m> blue = 10, green = 20, red = 10 </m>",10
8,"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 20",0.2752137,"<m> blue = 10, green = 20, red = 10 </m>",10
9,"looks red block , blue block 're fairly equal",blue = red,0.9716307,<m> blue = red </m>,10
10,"looks red block , blue block 're fairly equal",blue > red,0.5942921,<m> blue = red </m>,10
11,"looks red block , blue block 're fairly equal",blue != red,0.4908021,<m> blue = red </m>,10
12,"looks red block , blue block 're fairly equal",red > blue,0.39798695,<m> blue = red </m>,10
13,"looks red block , blue block 're fairly equal",blue < red,0.1885652,<m> blue = red </m>,10
14,"right green block 's twenty red block , blue block two ten","blue = 10, green = 20, red = 10",0.3276399,"<m> blue = 10, green = 20, red = 10 </m>",10
15,"right green block 's twenty red block , blue block two ten","blue = 20, green = 10, red = 10",0.2884876,"<m> blue = 10, green = 20, red = 10 </m>",10
16,"right green block 's twenty red block , blue block two ten","blue = 20, green = 20, red = 10",0.28440052,"<m> blue = 10, green = 20, red = 10 </m>",10
17,"right green block 's twenty red block , blue block two ten","blue = 10, green = 10, red = 20",0.26983646,"<m> blue = 10, green = 20, red = 10 </m>",10
18,"right green block 's twenty red block , blue block two ten","blue = 20, green = 10, red = 20",0.2654532,"<m> blue = 10, green = 20, red = 10 </m>",10
19,"red block , blue block 're together",blue = red,0.9488133,<m> blue = red </m>,10
20,"red block , blue block 're together",blue != red,0.35818222,<m> blue = red </m>,10
21,"red block , blue block 're together",blue > red,0.084941864,<m> blue = red </m>,10
22,"red block , blue block 're together",red > blue,0.020647952,<m> blue = red </m>,10
23,"red block , blue block 're together","blue = 10, red = 10",0.0068970853,<m> blue = red </m>,10
24,"alright let 's green block , purple block two already tell purple block one 's heavier",green = purple,0.97430515,<m> purple > green </m>,10
25,"alright let 's green block , purple block two already tell purple block one 's heavier",green != purple,0.86694396,<m> purple > green </m>,10
26,"alright let 's green block , purple block two already tell purple block one 's heavier",green > purple,0.5064979,<m> purple > green </m>,10
27,"alright let 's green block , purple block two already tell purple block one 's heavier",purple > green,0.49456072,<m> purple > green </m>,10
28,"alright let 's green block , purple block two already tell purple block one 's heavier",purple < green,0.46960858,<m> purple > green </m>,10
29,"green block , red block , purple block equal green block , red block , purple block instructions suppose",green = purple + red,0.7273821,<m> purple = green + red </m>,10
30,"green block , red block , purple block equal green block , red block , purple block instructions suppose",red = green + purple,0.6960676,<m> purple = green + red </m>,10
31,"green block , red block , purple block equal green block , red block , purple block instructions suppose",purple = green + red,0.64855164,<m> purple = green + red </m>,10
32,"green block , red block , purple block equal green block , red block , purple block instructions suppose",red != green + purple,0.477751,<m> purple = green + red </m>,10
33,"green block , red block , purple block equal green block , red block , purple block instructions suppose",purple != green + red,0.47008944,<m> purple = green + red </m>,10
34,"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",yellow = purple + red,0.9598552,<m> purple > green + red </m>,10
