,transcript,common_ground,scores,actual_common_ground,Group
0,The red cube ten grams,red = 10,0.89647985,<m> red = 10 </m>,9
1,The red cube ten grams,red > 10,0.01117261,<m> red = 10 </m>,9
2,The red cube ten grams,red != 10,0.009790735,<m> red = 10 </m>,9
3,The red cube ten grams,red < 10,0.0054160138,<m> red = 10 </m>,9
4,"would red block , blue block 's equal probably",blue = red,0.97839767,<m> blue = red </m>,9
5,"would red block , blue block 's equal probably",blue > red,0.89773214,<m> blue = red </m>,9
6,"would red block , blue block 's equal probably",red > blue,0.8558574,<m> blue = red </m>,9
7,"would red block , blue block 's equal probably",blue != red,0.7348126,<m> blue = red </m>,9
8,"would red block , blue block 's equal probably",blue < red,0.70448124,<m> blue = red </m>,9
9,"red block , blue block , green block 's probably equal",blue > green + red,0.6862688,<m> green = blue + red </m>,9
10,"red block , blue block , green block 's probably equal",green = blue + red,0.62364507,<m> green = blue + red </m>,9
11,"red block , blue block , green block 's probably equal",blue = green + red,0.6199321,<m> green = blue + red </m>,9
12,"red block , blue block , green block 's probably equal",blue < green + red,0.5958849,<m> green = blue + red </m>,9
13,"red block , blue block , green block 's probably equal",green > blue + red,0.59181666,<m> green = blue + red </m>,9
14,So got ten ten,green = 10,0.8797363,"<m> blue = 10, red = 10 </m>",9
15,So got ten ten,red = 10,0.84992635,"<m> blue = 10, red = 10 </m>",9
16,So got ten ten,yellow = 10,0.8453148,"<m> blue = 10, red = 10 </m>",9
17,So got ten ten,blue = 10,0.8161327,"<m> blue = 10, red = 10 </m>",9
18,So got ten ten,purple = 10,0.8090606,"<m> blue = 10, red = 10 </m>",9
19,"green block , blue block twenty ten right","blue = 20, green = 10",0.8228718,"<m> blue = 10, green = 20 </m>",9
20,"green block , blue block twenty ten right","blue = 10, green = 20",0.7140913,"<m> blue = 10, green = 20 </m>",9
21,Look thirty gram block,red = 30,0.94783694,<m> purple = 30 </m>,9
22,Look thirty gram block,blue = 30,0.92076373,<m> purple = 30 </m>,9
23,Look thirty gram block,green = 30,0.9138749,<m> purple = 30 </m>,9
24,Look thirty gram block,yellow = 30,0.9035191,<m> purple = 30 </m>,9
25,Look thirty gram block,purple = 30,0.8499357,<m> purple = 30 </m>,9
26,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",yellow < green + purple,0.8332112,<m> yellow = green + purple </m>,9
27,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",purple < green + yellow,0.8156763,<m> yellow = green + purple </m>,9
28,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",yellow = green + purple,0.81451565,<m> yellow = green + purple </m>,9
29,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",green = purple + yellow,0.81048244,<m> yellow = green + purple </m>,9
30,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",purple = green + yellow,0.7937629,<m> yellow = green + purple </m>,9
31,purple block one thirty yellow block fifty less,"purple = 30, yellow = 50",0.24884826,"<m> purple = 30, yellow = 50 </m>",9
32,purple block one thirty yellow block fifty less,"purple = 50, yellow = 30",0.23547082,"<m> purple = 30, yellow = 50 </m>",9
