,transcript,common_ground,scores,actual_common_ground,Group
0,We will tell you that the weight of the red cube is ten grams,red = 10,0.9936852,<m> red = 10 </m>,3
1,We will tell you that the weight of the red cube is ten grams,red > 10,0.02225919,<m> red = 10 </m>,3
2,We will tell you that the weight of the red cube is ten grams,red < 10,0.0043702666,<m> red = 10 </m>,3
3,We will tell you that the weight of the red cube is ten grams,red != 10,0.0036522727,<m> red = 10 </m>,3
4,"i think red block, blue block're the same weight yeah",blue = red,0.0832801,<m> blue = red </m>,3
5,"i think red block, blue block're the same weight yeah",blue = red,0.0832801,<m> blue = red </m>,3
6,"i think red block, blue block're the same weight yeah",blue < red,0.0021505437,<m> blue = red </m>,3
7,"i think red block, blue block're the same weight yeah",red < blue,0.001993415,<m> blue = red </m>,3
8,"i think red block, blue block're the same weight yeah",blue > red,0.0018021842,<m> blue = red </m>,3
9,sufficient to say green block one's probably twenty or,green = 20,0.9922792,<m> green = 20 </m>,3
10,sufficient to say green block one's probably twenty or,green > 20,0.270455,<m> green = 20 </m>,3
11,sufficient to say green block one's probably twenty or,green < 20,0.19804737,<m> green = 20 </m>,3
12,sufficient to say green block one's probably twenty or,green != 20,0.12893847,<m> green = 20 </m>,3
13,the purple one is thirty,purple = 30,0.98916644,<m> purple = 30 </m>,3
14,the purple one is thirty,purple > 30,0.20961827,<m> purple = 30 </m>,3
15,the purple one is thirty,purple != 30,0.08373672,<m> purple = 30 </m>,3
16,the purple one is thirty,purple < 30,0.049481943,<m> purple = 30 </m>,3
17,green is twenty and purple is thirty so yellow block weighs to fifty,"green = 30, purple = 50, yellow = 20",0.021262228,"<m> green = 20, purple = 30, yellow = 50 </m>",3
18,green is twenty and purple is thirty so yellow block weighs to fifty,"green = 30, purple = 20, yellow = 50",0.015398286,"<m> green = 20, purple = 30, yellow = 50 </m>",3
19,green is twenty and purple is thirty so yellow block weighs to fifty,"green = 20, purple = 30, yellow = 50",0.014831233,"<m> green = 20, purple = 30, yellow = 50 </m>",3
20,green is twenty and purple is thirty so yellow block weighs to fifty,"green = 20, purple = 50, yellow = 30",0.012314489,"<m> green = 20, purple = 30, yellow = 50 </m>",3
21,green is twenty and purple is thirty so yellow block weighs to fifty,"green = 50, purple = 20, yellow = 30",0.007966739,"<m> green = 20, purple = 30, yellow = 50 </m>",3
22,yeah i mentioned here green is twenty,green = 20,0.995437,<m> green = 20 </m>,3
23,yeah i mentioned here green is twenty,green > 20,0.009133246,<m> green = 20 </m>,3
24,yeah i mentioned here green is twenty,green < 20,0.0030749426,<m> green = 20 </m>,3
25,yeah i mentioned here green is twenty,green != 20,0.0028267852,<m> green = 20 </m>,3
26,yellow is of course not ten but,yellow = 10,0.993485,<m> yellow != 10 </m>,3
27,yellow is of course not ten but,yellow > 10,0.25226924,<m> yellow != 10 </m>,3
28,yellow is of course not ten but,yellow < 10,0.2388451,<m> yellow != 10 </m>,3
29,yellow is of course not ten but,yellow != 10,0.1479085,<m> yellow != 10 </m>,3
30,"no so when we try purple block, green block both",green = purple,0.98988473,<m> yellow > green blue red </m>,3
31,"no so when we try purple block, green block both",green = purple,0.98988473,<m> yellow > green blue red </m>,3
32,"no so when we try purple block, green block both",purple > green,0.24035552,<m> yellow > green blue red </m>,3
33,"no so when we try purple block, green block both",green > purple,0.13844411,<m> yellow > green blue red </m>,3
34,"no so when we try purple block, green block both",purple < green,0.08278727,<m> yellow > green blue red </m>,3
35,so i feel yellow is fifty,yellow = 50,0.9908032,<m> yellow = 50 </m>,3
36,so i feel yellow is fifty,yellow < 50,0.39053604,<m> yellow = 50 </m>,3
37,so i feel yellow is fifty,yellow > 50,0.31208828,<m> yellow = 50 </m>,3
38,so i feel yellow is fifty,yellow != 50,0.10457992,<m> yellow = 50 </m>,3
39,yellow block's for sure not thirty,yellow = 30,0.9922668,<m> yellow != 30 </m>,3
40,yellow block's for sure not thirty,yellow > 30,0.11066996,<m> yellow != 30 </m>,3
41,yellow block's for sure not thirty,yellow < 30,0.0365757,<m> yellow != 30 </m>,3
42,yellow block's for sure not thirty,yellow != 30,0.023451107,<m> yellow != 30 </m>,3
43,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",purple = 40,0.98719645,<m> yellow = 50 </m>,3
44,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",blue = 40,0.98601073,<m> yellow = 50 </m>,3
45,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",red = 40,0.9822786,<m> yellow = 50 </m>,3
46,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",yellow = 40,0.98123145,<m> yellow = 50 </m>,3
47,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",yellow < 40,0.48531747,<m> yellow = 50 </m>,3
48,yeah and yellow block is fifty,yellow = 50,0.9945897,"<m> purple = 30, yellow = 50 </m>",3
49,yeah and yellow block is fifty,yellow > 50,0.0092687085,"<m> purple = 30, yellow = 50 </m>",3
50,yeah and yellow block is fifty,yellow < 50,0.006592201,"<m> purple = 30, yellow = 50 </m>",3
51,yeah and yellow block is fifty,yellow != 50,0.0056273323,"<m> purple = 30, yellow = 50 </m>",3
