,transcript,common_ground,scores,actual_common_ground,Group
0,I will tell you that the red cube is ten grams,red = 10,0.9975307,<m> red = 10 </m>,6
1,I will tell you that the red cube is ten grams,red != 10,0.004441123,<m> red = 10 </m>,6
2,I will tell you that the red cube is ten grams,red > 10,0.0009022765,<m> red = 10 </m>,6
3,I will tell you that the red cube is ten grams,red < 10,0.000589221,<m> red = 10 </m>,6
4,i guess if red block red one's ten grams,red = 10,0.9972415,<m> red = 10 </m>,6
5,i guess if red block red one's ten grams,red != 10,0.19998442,<m> red = 10 </m>,6
6,i guess if red block red one's ten grams,red > 10,0.031821094,<m> red = 10 </m>,6
7,i guess if red block red one's ten grams,red < 10,0.0042164926,<m> red = 10 </m>,6
8,"seems like red block, blue block might be about the same",blue = red,0.943457,<m> blue = red </m>,6
9,"seems like red block, blue block might be about the same",blue = red,0.943457,<m> blue = red </m>,6
10,"seems like red block, blue block might be about the same",red > blue,0.0010307706,<m> blue = red </m>,6
11,"seems like red block, blue block might be about the same",blue > red,0.0009892278,<m> blue = red </m>,6
12,"seems like red block, blue block might be about the same",red < blue,0.0007344326,<m> blue = red </m>,6
13,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking",green = 20,0.9964442,"<m> green = 20, red = 10 </m>",6
14,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking",green = 10,0.99614596,"<m> green = 20, red = 10 </m>",6
15,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking",red = 20,0.99587333,"<m> green = 20, red = 10 </m>",6
16,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking",red = 10,0.9957491,"<m> green = 20, red = 10 </m>",6
17,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking","green = 20, red = 10, yellow = 50",0.3541503,"<m> green = 20, red = 10 </m>",6
18,ok so purple block's more than twenty but it almost seems like the thirty takes it past but,purple = 20,0.9769896,"<m> purple < 30, purple > 20 </m>",6
19,ok so purple block's more than twenty but it almost seems like the thirty takes it past but,purple = 30,0.9427254,"<m> purple < 30, purple > 20 </m>",6
20,ok so purple block's more than twenty but it almost seems like the thirty takes it past but,purple != 20,0.47735932,"<m> purple < 30, purple > 20 </m>",6
21,ok so purple block's more than twenty but it almost seems like the thirty takes it past but,purple != 30,0.46045938,"<m> purple < 30, purple > 20 </m>",6
22,ok so purple block's more than twenty but it almost seems like the thirty takes it past but,"blue = 30, green = 10, purple = 50",0.012173503,"<m> purple < 30, purple > 20 </m>",6
23,"if red block, blue block, green block, yellow block, purple block're only in increments of ten purple block has to be",yellow = 10,0.8178557,<m> purple = 30 </m>,6
24,"if red block, blue block, green block, yellow block, purple block're only in increments of ten purple block has to be",purple = 10,0.81571996,<m> purple = 30 </m>,6
25,"if red block, blue block, green block, yellow block, purple block're only in increments of ten purple block has to be",red = 10,0.76686126,<m> purple = 30 </m>,6
