,Begin Time - ss.msec,End Time - ss.msec,Common Ground,Utterance,Start,End,Group,Participant,Transcript
0,21.12,24.51,red = 10,3,21.12,24.51,6,4,I will tell you that the red cube is ten grams
1,63.42,66.0,red = 10,9,61.23,64.67,6,1,i guess if red block red one's ten grams
2,72.45,76.17,red = blue,11,72.45,76.17,6,1,"seems like red block, blue block might be about the same"
5,89.76,91.06,purple > red + blue,14,89.76,91.06,6,3,Too heavy so
6,102.35,104.28,green = 20,18,102.3,103.5,6,1,that's looking pretty even
8,116.79,125.37,red = 10 and green = 20,24,116.79,125.37,6,2,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking"
10,141.18,146.85,purple > 20,32,141.18,146.85,6,2,ok so purple block's more than twenty but it almost seems like the thirty takes it past but
11,156.33,161.08,purple = 30,34,157.58,159.58,6,2,"if red block, blue block, green block, yellow block, purple block're only in increments of ten purple block has to be"
14,177.57,178.08,yellow = 50,41,177.57,178.08,6,2,Fifty
16,186.24,190.92,yellow < 50,44,186.24,190.92,6,3,"yeah purple block, green block's considerably heavier so purple block one did we say purple block was thirty"
17,192.61,195.21,purple = 30 and green = 20,46,192.61,195.21,6,2,yeah purple block's thirty green is twenty
18,195.24,196.42, red = 10 and blue = 10,47,195.24,196.42,6,2,red and small blue are both ten
19,201.21,202.25,yellow < purple + green,49,201.21,202.25,6,3,"but green block, purple block's too heavy"
20,205.44,209.58,purple + green = 50,51,205.44,209.58,6,1,"purple block, green block is fifty on here so then"
22,224.5,226.56,purple + blue = 40,57,224.5,226.56,6,2,"so purple block, blue block should be forty right there"
23,237.36,240.75,yellow = 50,59,239.41,243.39,6,2,i would say yellow is like forty five but we could say fifty since we're
