Begin Time - ss.msec,End Time - ss.msec,Common Ground,Utterance,Start,End,Group,Participant,Transcript
33.39,38.04,S0: STATEMENT(red = 10),2,33.39,38.04,3,4,We will tell you that the weight of the red cube is ten grams
80.55,86.25,R1: RECOMMENDATION(red = ?),11,80.55,86.25,3,1,Alright so shall we
112.41,114.39,Q1: QUESTION(red = blue?),17,112.41,114.39,3,1,So you think they're the same weight or
142.38,145.07,S1: STATEMENT(red = blue),24,142.38,145.07,3,2,I think they are same weight
145.1,147.27,ACCEPT(S1),23,144.5,147.27,3,1,I think they're the same weight yeah
162.4,165.36,Q2: QUESTION(blue = 10?),33,162.4,165.36,3,3,The blue one is also ten right
165.45,165.67,"A1: ANSWER(Q2, yes)",35,165.45,165.67,3,1,Right  
212.13,214.16,S2: STATEMENT(green = 20),42,212.13,214.16,3,1,Sufficient to say that one's probably twenty or
214.42,219.93,ACCEPT(S2),44,219.91,224.42,3,1,What do you want
219.96,226.53,R2: RECOMMENDATION(? = 30),44,219.91,224.42,3,1,What do you want
238.47,240.45,S3: STATEMENT(purple = 30),48,238.47,240.45,3,2,The purple one is thirty
241.8,243.42,ACCEPT(S3),49,241.8,243.42,3,3,Purple is thirty yeah 
264.21,266.16,Q3: QUESTION(green = 20?),57,265.65,268.29,3,2,Green and this one
269.35,272.58,S4: STATEMENT(green = 20 and purple = 30 and yellow = 50),58,269.35,272.58,3,3,Green is twenty and purple is thirty so it weighs to fifty
274.95,277.05,ACCEPT(S4),59,274.95,277.05,3,1,It seems to be
277.53,279.75,S5: STATEMENT(green = 20),61,277.92,281.43,3,2,It's leaning more this side so
279.77,281.42,S6: STATEMENT(yellow < green + purple),61,277.92,281.43,3,2,It's leaning more this side so
285.18,287.82,S7: STATEMENT(yellow < green + purple),62,285.18,287.82,3,2,It's leaning more to the side
295.29,298.0,R3: RECOMMENDATION(yellow = purple + red + blue),65,295.29,298.0,3,3,Uh put both on top please
305.46,309.08,Q4: QUESTION(purple = ?),67,305.46,309.58,3,1,Wait purple is how much purple was thirty
309.08,310.8,"A2: ANSWER(Q4, purple = 30)",68,309.08,310.8,3,3,Purple is thirty
314.1,315.58,S7: STATEMENT(yellow != 10),69,314.1,315.58,3,3,Yellow is of course not ten but
326.85,330.69,R4: RECOMMENDATION: (yellow = red + blue+ green?),73,326.85,330.69,3,1,Have we tried these two and the green one cause it's
336.06,338.42,S8: STATEMENT(yellow > green + blue + red),77,337.33,341.55,3,3,No so when we try these both 
344.01,348.36,S9: STATEMENT(yellow = 50),79,345.75,347.42,3,1,That is equivalent to the 
356.19,359.46,Q5: QUESTION(green = 20 and purple = 30?),81,356.19,359.46,3,3,This has thirty and twenty
359.89,362.94,"A3: ANSWER(Q5, green = 20 and purple = 30)",82,359.91,362.94,3,3,Yeah green is twenty and purple is thirty
366.06,371.16,S10: STATEMENT(yellow != 30),83,366.06,371.16,3,2,It's for sure not thirty
399.16,402.03,S11: STATEMENT(yellow = 50),88,400.01,400.5,3,2,Fifty  
431.58,435.75,S12: STATEMENT(purple = 30 and yellow = 50),97,431.58,435.75,3,2,Thirty and yellow is fifty
