Begin Time - ss.msec,End Time - ss.msec,Common Ground,Utterance,Start,End,Group,Participant,Transcript
33.3,36.23,S0: STATEMENT(red = 10),8,33.3,36.24,4,4,I will tell you that the red cube is ten grams
73.9,75.33,"O1: OBSERVATION: on(RedBlock and BlueBlock, LeftScale) and on(GreenBlock, RightScale) and Scale: lean(zero)",16,72.21,80.64,4,3,Well then no let's compare the red to the blue to see if we can get a baseline to the blue
75.34,79.84,R1: RECOMMENDATION(red = blue?),17,78.08,78.33,4,2,Yeah
80.44,80.77,"O1: OBSERVATION: on(RedBlock,  LeftScale) and on(BlueBlock, RightScale) and Scale: lean(zero) ",16,72.21,80.64,4,3,Well then no let's compare the red to the blue to see if we can get a baseline to the blue
80.78,81.6,I1: INFERENCE-FROM(O1 and red = 10),18,80.79,83.1,4,1,Well the top is a ten
81.61,82.96,S1: STATEMENT(blue = 10),18,80.79,83.1,4,1,Well the top is a ten
83.57,84.38,DOUBT(S1),19,83.58,83.84,4,2,Is it
90.31,91.14,I2: INFERENCE-FROM (O1 and O2 and red = 10) ,21,89.82,97.32,4,1,Ok there easy so this is twenty yeah cause this is ten as long as it's not dropping it's the same
91.14,91.75,S2: STATEMENT(green = 20),22,91.67,95.35,4,2,Is it ten and this was equal to this one
91.76,92.32,Q1: QUESTION(blue = 10?),22,91.67,95.35,4,2,Is it ten and this was equal to this one
93.15,94.53,"A1: ANSWER(Q1, yes)",22,91.67,95.35,4,2,Is it ten and this was equal to this one
99.4,101.66,"O3: OBSERVATION: on(GreenBlock, RightScale) and on(RedBlock, LeftScale) and on(BlueBlock, LeftScale) and Scale: lean(zero)",23,97.83,99.96,4,1,And then this was
107.44,108.83,"O4: OBSERVATION: on(PurpleBlock, RightScale) and on(RedBlock, LeftScale) and on(BlueBlock, LeftScale) and Scale: lean(right)",27,106.05,110.84,4,1,I feel like this one is oh yeah so this is 
108.85,110.32,R1: RECOMMENDATION(purple = green + blue + red?),28,110.18,111.34,4,2,Take off a ten
110.32,110.55,"O5: OBSERVATION: on(PurpleBlock, RightScale) and on(GreenBlock, LeftScale) and on(RedBlock, LeftScale) and on(BlueBlock, LeftScale) and Scale: lean(left)",28,110.18,111.34,4,2,Take off a ten
110.55,111.51,R2: RECOMMENDATION(purple = green + red?),28,110.18,111.34,4,2,Take off a ten
116.34,118.32,"O6: OBSERVATION: on(PurpleBlock, RightScale) and on(RedBlock and GreenBlock, LeftScale) and Scale: lean(zero)",30,116.34,118.32,4,1,So it's not
118.33,121.57,I3: INFERENCE-FROM (O6 and red = 10 and green = 20) ,31,119.94,125.75,4,1,It doesn't drop completely yeah we can consider this to be thirty then yeah because it doesn’t drop
121.58,123.64,S3: STATEMENT(purple = 30),32,123.5,127.41,4,2,Can we yeah and it's obviously not forty
123.65,124.43,DOUBT(S3),33,124.15,125.03,4,3,Can we
124.63,125.46,I4: INFERENCE-FROM(O5 and green = 20 and red = 10 and blue = 10),33,124.15,125.03,4,3,Can we
125.49,127.16,S4: STATEMENT(purple != 40),32,123.5,127.41,4,2,Can we yeah and it's obviously not forty
127.2,127.94,I5: INFERENCE-FROM(O4 and red = 10 and blue = 10),35,127.47,127.75,4,1,Yeah
127.96,129.29,S5: STATEMENT(purple != 20),34,127.47,130.62,4,2,Well it's not and it's not twenty yeah it's gotta be thirty
129.51,130.62,S6: STATEMENT(purple = 30),34,127.47,130.62,4,2,Well it's not and it's not twenty yeah it's gotta be thirty
130.65,131.94,ACCEPT(S6),36,130.65,132.5,4,3,Yeah ok so that's thirty are we writing this down somewhere
151.98,154.94,"O7: OBSERVATION: on(YellowBlock, RightScale) and on(PurpleBlock and GreenBlock, LeftScale) and Scale: lean(zero)",43,152.73,154.71,4,0,
154.97,157.83,I6: INFERENCE-FROM(O7 and green = 20 and purple = 30),44,155.04,161.79,4,3,Uh so yellow we or red and blue there's no there's no ok
157.84,159.83,S7: STATEMENT(yellow = 50),45,157.84,159.83,4,1,Ok so we can say that this is fifty
160.58,161.74,DOUBT(S7),46,160.63,161.79,4,2,Not fifty
161.88,162.59,S8: STATEMENT(blue = 10),47,161.88,162.59,4,1,Blue is ten
162.59,163.86,Q2: QUESTION(yellow = 60?),48,162.59,163.86,4,2,Sixty right 
164.65,166.04,Q2: QUESTION(purple = 30 and green = 30?),50,165.67,170.31,4,1,No this is twenty you're off the team
166.04,167.17,"A2: ANSWER(Q2, green = 20)",50,165.67,170.31,4,1,No this is twenty you're off the team
174.37,175.44,S9: STATEMENT(yellow = 50),52,170.46,177.06,4,3,And so that would mean yellow is fifty
175.47,176.11,ACCEPT(S9),54,175.5,177.06,4,1,Yeah
185.43,186.64,Q3: QUESTION(green = 20?),59,184.34,187.35,4,3,Blue's ten green is a twenty
186.64,187.39,"A3: ANSWER(Q3, green = 20)",59,184.34,187.35,4,3,Blue's ten green is a twenty
