Utterance,Start,End,Group,Participant,Transcript
0,3.6,5.58,8,0,
1,5.97,8.04,8,2,Or is it
2,8.07,11.55,8,2,Yeah green is for twenty
3,13.08,15.21,8,3,Ok so now
4,15.45,18.21,8,3,I'll just take these off and then we can have a little more
5,18.93,22.31,8,3,I am your in control oh
6,21.66,22.5,8,1,Sorry
7,22.65,24.63,8,3,It's ok
8,25.74,29.02,8,1,Can I add the red one or blue one here maybe it might be thirty
9,25.74,29.31,8,3,Cause yeah
10,32.52,35.67,8,2,So twenty that's thirty
11,36.9,38.88,8,3,Yeah  
12,42.6,47.75,8,3,I mean the fact that it's teetering back and forth it's close enough they're just increments of ten grams
13,45.45,48.72,8,1,Yeah so the blue one is thirty
14,48.78,51.75,8,2,Blue is thirty big blue is thirty
15,45.75,50.01,8,3,Yeah
16,51.87,54.33,8,3,So it's thirty here
17,56.55,64.66,8,2,Did we measure we didn't measure the the yellow one right we might
18,58.58,64.86,8,1,Did we measure we didn't measure the yellow just keep one
19,61.33,62.83,8,3,Oh I thought ok 
20,65.67,67.95,8,1,And keep the thirty
21,60.3,73.95,8,2,Let's try both the green ones now I mean both the big ones yeah
22,67.98,69.43,8,3,Let's try
23,74.12,74.75,8,2,Too heavy
24,74.07,76.05,8,1,Oh that's too left
25,76.41,78.45,8,1,Try the right
26,78.51,80.61,8,1,Keep that one
27,84.75,88.17,8,2,What if we do the green one and the two smaller cubes
28,88.53,91.26,8,2,Cause that's going to be pushing that way
29,91.53,92.76,8,3,Gotcha are they centered
30,93.62,95.79,8,1,This is twenty or thirty
31,96.31,99.69,8,3,Let's just make sure I guess they are centered
32,96.06,96.75,8,2,Yeah I feel that way
33,98.25,99.25,8,3,These are ten
34,100.05,106.25,8,2,Green green is twenty so green is twenty and then we said this one is thirty right
35,100.45,106.77,8,3,Green is twenty ok green is twenty thirty yeah
36,107.01,108.99,8,1,But let's see let's
37,114.15,117,8,1,Needs more weight
38,117.36,119.58,8,1,Let's try forty
39,119.76,126.39,8,2,That's too light and we know that green is equal to
40,126.42,128.4,8,2,This one and that one
41,128.94,131.25,8,2,So let's try this one too
42,132,134.91,8,1,Oh it's more than forty
43,136.23,141.09,8,3,So let's see oh wait it's leaning now
44,141.12,143.19,8,0,
45,144.78,146.76,8,1,Between forty and fifty
46,155.4,157.66,8,2,It's definitely not staying in between right
47,157.58,159.33,8,1,Yeah it's more than forty
48,159.64,162.21,8,3,But which one was forty I'm just
49,162.3,164.88,8,1,This is thirty this is twenty
50,162.82,163.58,8,3,Thirty ok
51,163.08,164.88,8,2,Yeah twenty  
52,165.72,166.33,8,2,So what if we do
53,166.66,168.09,8,1,This is more than forty
54,168.21,170.67,8,1,But we don't and less than fifty actually
55,171.39,173.97,8,3,Yeah
56,174.33,175.16,8,1,Twenty plus ten thirty
57,175.91,177.18,8,2,Thirty  
58,178.17,180.15,8,1,Forty
59,183.93,186.24,8,0,
60,187.98,190.38,8,1,Forty
61,191.28,191.92,8,1,Fifty
62,192.41,194.13,8,2,Fifty so heavy or
63,194.46,196.62,8,1,Fifty is too heavy
64,198.15,203.75,8,3,I mean it could be just like how they were placed on like measured at like I don't know
65,197.1,198.92,8,1,Yeah it is between forty and fifty
66,202.25,204.87,8,2,Like can we use a combination of
67,206.83,210.08,8,3,We can't we can't get between so
68,206.07,212.19,8,1,We tried all of the combinations yeah yeah we can try this
69,209.82,211.22,8,2,So we can move one of these
70,213.6,215.58,8,3,Yeah but
71,215.97,220.35,8,3,We know it's between forty and fifty we can't really
72,217.93,219.24,8,1,We can add weight
73,220.5,224.4,8,3,Cause everything else we know is like a multiple of ten so we just can't
74,223.66,224.33,8,2,Yeah
75,225.06,227.49,8,3,Directly compare it um
76,227.73,231.03,8,1,Actually just adding one gram made it equal
77,232.47,234.45,8,1,I just added one gram
78,234.93,237.9,8,2,Oh yeah cause it's a scale yeah so
79,237.08,237.9,8,3,Yeah
80,237.93,239.33,8,1,So it's forty one
81,241.63,243.21,8,2,Yeah forty one
82,246.3,248.52,8,2,So should we
83,248.55,251.25,8,2,Where should we put it then in forty
84,249.58,252.9,8,1,I think actually everything is not round figured
85,253.23,258.84,8,1,Presume because they didn't come to that sect right shall we try to measure it accurately
86,259.22,261.87,8,3,Wait so is this just in the wrong place or is this the twenty
87,259.11,260.01,8,1,Precisely
88,264.17,271.62,8,3,Is this in the wrong place or is this ok so this is thirty fifty minus one so 
