Utterance,Start,End,Group,Participant,Transcript
0,1.89,3.87,5,4,Callibrate my cameras
1,11.55,14.79,5,4,The task you are completing today is called the weights task
2,15.48,20.04,5,4,In the first part you are going to work together to determine the weights of the cubes in front of you
3,20.25,22.68,5,4,I can tell you that the red cube is ten grams
4,23.58,35.19,5,4,No don't write it down you can flip that piece of paper over and uh you will be placing the blocks where they go on the sheet and you will also be filling out this survey here
5,23.58,24.25,5,3,Can we write that down
6,35.31,37.29,5,4,You guys are going to be group five
7,37.71,45.87,5,4,Um the scale is not perfect and the blocks aren't always perfect so like it might teeter but that's fine if one drops that's like what you want to look for
8,46.92,49.53,5,4,Um and you also don't need to touch the slider at all
9,49.59,55.83,5,4,Um so yeah just place the cubes on the worksheet as well as fill out the survey as you go and you guys can get started
10,59.08,56.94,5,1,Where's the survey
11,57.18,58.09,5,4,It's on that computer
12,58.15,59.46,5,1,Oh
13,59.73,61.91,5,3,We're group five
14,60.08,64.08,5,1,Alright we see we serve it on the end over there ok so we know this is ten grams
15,62.91,64.62,5,2,So we know this is ten
16,65.43,67.67,5,3,Let me reset the scale
17,65.43,74.13,5,1,So you hold that at the end of the scale yeah it goes here ok
18,68.88,74.02,5,2,So we know this is ten set it there for privacy
19,74.96,84.46,5,1,What's this one ok so ok so we know that that one's heavier so ok this one looks relatively the same size so should we see
20,74.85,79.84,5,2,We just want to go pretty pretty heavy 
21,77.25,85.57,5,3,It's heavy yep
22,85.05,85.92,5,3,Sounds right
23,85.25,86.12,5,1,So we could put that there
24,92.25,95.19,5,1,I'd say that's basically the same because it's teetering
25,95.79,99,5,3,Yeah if that's what we're going off of
26,99.78,101.76,5,1,Yeah because it continue right
27,105.42,107.92,5,3,Yep it's an amazon scale we're fine
28,108.33,112.17,5,1,Ok so yeah that scale so these are both ten
29,108.58,112.17,5,2,So these are both ten   
30,112.62,113.02,5,3,Correct
31,113.19,119.55,5,1,Ok so what if if I had that is it one of those that one
32,125.88,128.25,5,0,
33,129.66,131.51,5,1,Yeah yeah I think that's fine
34,131.62,132.99,5,2,So that one's twenty
35,133.33,136.65,5,2,So these are both ten in theory ten ten twenty
36,133.23,134.17,5,1,Ok in theory
37,137.25,147.84,5,2,Yeah so we know the blue is ten yeah
38,137.25,139.67,5,3,So we have there is no red
39,139.81,147.84,5,1,Well no red is given to you that's why you don't need well this is blue that's purple ok
40,147.96,154.32,5,3,So the green we think is twenty ok so let's see we can use our hands as well
41,149.68,151.01,5,2,The green is twenty
42,154.47,159.75,5,1,This is heavier than this one so this is twenty this is heavier than this one
43,156.5,157.58,5,2,Which one is heavier
44,160.38,161.33,5,2,This is definitely the heaviest
45,161.42,163.86,5,1,Ok so let's try purple
46,164.07,168.25,5,1,Ok so that's heavier ok ok so greather than twenty
47,167.06,170.07,5,3,So we have twenty
48,168.46,170.07,5,2,It's greater than twenty
49,170.23,172.5,5,2,So I can put one one and see if it's thirty
50,170.1,173.01,5,1,Right what if we put ten on that
51,174.48,183.63,5,2,Teeter teeter we know it's less than forty and greater than twenty so it's likely thirty we don't have any other options it it's gonna be thirty
52,175.5,181.24,5,1,What if I do this ok so less than forty likely thirty ok
53,184.5,186.08,5,1,Yeah ok so we think purple's thirty
