,Begin Time - ss.msec,End Time - ss.msec,Common Ground,Utterance,Start,End,Group,Participant,Transcript
0,33.3,36.23,red = 10,8,33.3,36.24,4,4,I will tell you that the red cube is ten grams
5,81.61,82.96,blue = 10,18,80.79,83.1,4,1,Well the top is a ten
8,91.14,91.75,green = 20,22,91.67,95.35,4,2,Is it ten and this was equal to this one
18,121.58,123.64,purple = 30,32,123.5,127.41,4,2,Can we yeah and it's obviously not forty
21,125.49,127.16,purple != 40,32,123.5,127.41,4,2,Can we yeah and it's obviously not forty
23,127.96,129.29,purple != 20,34,127.47,130.62,4,2,Well it's not and it's not twenty yeah it's gotta be thirty
24,129.51,130.62,purple = 30,34,127.47,130.62,4,2,Well it's not and it's not twenty yeah it's gotta be thirty
28,157.84,159.83,yellow = 50,45,157.84,159.83,4,1,Ok so we can say that this is fifty
30,161.88,162.59,blue = 10,48,162.59,163.86,4,2,Sixty right 
34,174.37,175.44,yellow = 50,52,170.46,177.06,4,3,And so that would mean yellow is fifty
